from date,BP,PM2.5,PM10,RF,RH,SR,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Ozone,Toluene,CO,NH3,NO,NO2,NOx,SO2,to date,station
19-Aug-2018 - 00:00,737.98,75.29,176.03,0.0,81.6,53.44,190.06,0.72,0.49,0.5,0.49,0.51,36.81,0.49,0.66,18.1,7.9,19.94,27.84,13.74,20-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
20-Aug-2018 - 00:00,738.02,40.77,133.83,0.0,76.87,73.91,142.47,0.57,0.49,0.48,0.48,0.48,32.68,0.48,0.56,22.29,18.44,27.17,40.84,12.82,21-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
21-Aug-2018 - 00:00,738.0,146.33,83.72,0.0,74.35,99.68,133.94,0.63,0.49,0.51,0.48,0.49,43.68,0.49,0.66,22.69,14.49,21.88,34.68,13.7,22-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
22-Aug-2018 - 00:00,737.98,722.21,116.53,0.0,72.9,96.9,146.37,0.67,0.5,0.49,0.5,0.5,31.95,0.49,0.63,21.53,13.86,22.79,15.06,13.58,23-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
23-Aug-2018 - 00:00,738.05,31.42,150.57,0.31,79.84,68.38,247.31,1.14,0.49,0.49,0.49,0.49,29.96,0.49,0.66,13.62,11.07,17.13,26.15,7.92,24-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
24-Aug-2018 - 00:00,738.84,120.3,143.15,0.0,80.06,43.27,201.24,0.8,0.5,0.49,0.49,0.5,62.73,0.5,0.54,14.24,15.73,21.36,37.84,20.8,25-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
25-Aug-2018 - 00:00,740.16,89.56,158.96,0.0,72.45,74.0,215.34,0.86,0.5,0.5,0.49,0.49,23.86,0.5,0.78,15.05,17.94,29.5,46.08,21.87,26-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
26-Aug-2018 - 00:00,740.09,93.39,167.42,0.0,66.97,110.65,233.9,1.21,0.5,0.51,0.5,0.51,34.79,0.5,0.77,12.36,16.4,22.06,38.46,24.03,27-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
27-Aug-2018 - 00:00,740.24,71.82,203.36,0.98,88.53,40.09,199.92,0.67,0.48,0.47,0.47,0.47,26.67,0.47,0.79,13.57,17.93,29.76,44.6,19.55,28-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
28-Aug-2018 - 00:00,740.92,313.56,199.63,1.82,90.73,48.27,178.45,0.55,0.5,0.51,0.5,0.5,29.8,0.5,0.81,13.87,14.65,25.6,40.26,15.82,29-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
29-Aug-2018 - 00:00,741.49,37.56,95.9,0.04,87.82,67.82,154.23,0.55,0.49,0.51,0.5,0.49,26.83,0.49,0.77,19.87,12.95,23.85,35.47,13.77,30-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
30-Aug-2018 - 00:00,741.48,64.19,180.39,0.0,77.65,98.53,219.54,0.82,0.49,0.49,0.49,0.49,30.59,0.49,0.77,14.64,17.95,25.11,41.22,14.89,31-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
31-Aug-2018 - 00:00,741.49,90.18,284.39,0.0,70.57,95.05,228.85,1.04,0.5,0.5,0.5,0.5,29.22,0.49,0.86,19.07,28.7,34.41,63.11,14.14,01-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
