from date,NO,NO2,NOx,Ozone,CO,NH3,PM10,PM2.5,SO2,to date,station
09-Jun-2018 - 00:00,76.37,71.47,97.46,15.53,0.88,171.02,171.62,107.22,0.84,10-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
10-Jun-2018 - 00:00,86.38,78.38,111.84,29.23,0.95,185.15,231.86,233.61,2.4,11-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
11-Jun-2018 - 00:00,35.97,79.88,71.46,30.49,0.74,119.21,224.75,182.21,2.55,12-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
12-Jun-2018 - 00:00,36.44,73.72,67.12,17.88,2.87,111.89,318.93,241.47,2.09,13-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
13-Jun-2018 - 00:00,32.48,62.29,59.49,12.24,0.72,98.02,484.59,553.08,1.75,14-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
14-Jun-2018 - 00:00,31.23,48.99,51.51,8.98,0.72,88.61,526.49,346.91,6.36,15-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
15-Jun-2018 - 00:00,45.18,53.7,64.65,7.16,0.71,109.56,465.48,262.54,11.73,16-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
16-Jun-2018 - 00:00,47.45,56.1,67.33,7.58,0.78,127.85,427.31,158.84,12.27,17-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
17-Jun-2018 - 00:00,28.85,53.95,52.12,11.52,0.63,107.29,256.55,130.71,11.53,18-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
18-Jun-2018 - 00:00,58.25,55.2,76.58,16.12,0.84,136.16,145.49,79.48,14.42,19-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
19-Jun-2018 - 00:00,37.96,63.67,64.17,20.82,0.75,116.23,140.0,67.23,11.52,20-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
20-Jun-2018 - 00:00,62.17,81.25,93.48,18.92,1.3,159.87,152.6,71.9,10.29,21-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
21-Jun-2018 - 00:00,57.75,93.73,96.55,27.33,1.31,162.56,240.39,91.54,7.81,22-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
22-Jun-2018 - 00:00,104.07,123.36,150.02,41.99,1.48,236.62,213.51,105.09,11.27,23-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
23-Jun-2018 - 00:00,100.1,97.84,133.15,31.85,1.56,218.78,221.68,121.56,16.37,24-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
24-Jun-2018 - 00:00,51.24,76.36,82.04,33.74,1.02,141.83,168.24,84.92,27.92,25-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
25-Jun-2018 - 00:00,53.26,74.33,82.75,22.73,1.07,142.48,284.32,131.55,14.69,26-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
26-Jun-2018 - 00:00,62.05,75.88,90.37,17.2,1.12,145.44,167.39,91.01,7.64,27-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
27-Jun-2018 - 00:00,41.68,70.83,71.46,20.89,1.41,120.93,195.62,190.83,5.29,28-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
28-Jun-2018 - 00:00,58.9,61.74,80.27,16.55,1.38,135.53,104.36,109.28,4.71,29-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
29-Jun-2018 - 00:00,76.55,73.85,101.52,17.51,1.94,169.63,120.0,51.77,5.18,30-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
30-Jun-2018 - 00:00,68.96,75.22,96.81,17.26,1.42,162.6,98.79,51.46,5.12,01-Jul-2018 - 00:00,"ITO, Delhi - CPCB"
01-Jul-2018 - 00:00,35.51,53.63,56.54,22.48,0.99,98.06,133.34,38.44,4.93,02-Jul-2018 - 00:00,"ITO, Delhi - CPCB"
02-Jul-2018 - 00:00,36.28,54.8,58.42,20.95,1.04,100.14,100.85,43.53,4.41,03-Jul-2018 - 00:00,"ITO, Delhi - CPCB"
03-Jul-2018 - 00:00,80.62,75.06,104.94,20.39,1.39,176.28,112.36,60.79,5.52,04-Jul-2018 - 00:00,"ITO, Delhi - CPCB"
04-Jul-2018 - 00:00,82.1,58.3,97.8,14.7,1.5,171.6,137.0,66.0,4.53,05-Jul-2018 - 00:00,"ITO, Delhi - CPCB"
