from date,Temp,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,VWS,to date,station
07-Apr-2018 - 00:00,31.1,0.96,61.04,6.6,14.15,7.84,50.79,102.62,0.22,2.3,1.64,26.98,67.66,0.44,113.83,85.16,752.14,-0.12,08-Apr-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
08-Apr-2018 - 00:00,29.76,0.93,71.99,6.27,15.42,7.96,53.49,86.41,0.15,2.47,1.59,27.88,61.43,0.32,150.2,83.85,752.66,-0.11,09-Apr-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
09-Apr-2018 - 00:00,29.85,1.22,61.32,8.57,14.78,9.23,46.73,88.14,0.29,2.74,1.17,27.62,68.79,0.44,105.94,102.04,752.67,-0.12,10-Apr-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
10-Apr-2018 - 00:00,31.06,0.97,68.82,6.82,12.08,7.58,48.61,89.67,0.34,2.65,0.96,27.44,65.81,0.31,171.65,71.98,751.98,-0.15,11-Apr-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
11-Apr-2018 - 00:00,30.87,1.03,63.56,8.08,12.22,8.42,50.64,85.69,0.32,2.86,0.95,27.65,67.38,0.31,170.53,107.52,751.58,-0.13,12-Apr-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
12-Apr-2018 - 00:00,31.04,1.31,56.53,10.6,12.84,9.96,48.75,96.9,0.28,3.07,0.89,28.59,57.93,0.3,202.74,102.23,751.23,-0.14,13-Apr-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
13-Apr-2018 - 00:00,31.42,1.2,50.77,13.55,17.25,12.96,47.67,78.6,0.35,3.77,0.97,31.51,43.58,0.31,221.02,123.65,751.14,-0.14,14-Apr-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
14-Apr-2018 - 00:00,31.5,1.55,62.9,27.53,45.95,33.7,37.17,102.58,0.31,3.08,1.14,31.76,36.94,0.31,195.18,128.05,750.69,-0.14,15-Apr-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
15-Apr-2018 - 00:00,32.09,1.45,63.44,9.98,25.86,13.02,43.3,115.02,0.35,3.41,1.13,32.37,35.42,0.3,171.22,121.38,750.93,-0.16,16-Apr-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
16-Apr-2018 - 00:00,31.85,1.37,79.81,8.3,17.47,9.77,46.97,97.37,0.31,3.15,0.86,31.89,60.28,0.33,125.38,116.33,751.31,-0.16,17-Apr-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
