from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,to date,station
05-Mar-2018 - 00:00,30.63,0.69,49.04,2.43,41.73,24.17,20.06,9.71,54.86,126.93,0.2,2.64,0.1,30.28,36.83,1.33,137.4,123.65,723.84,06-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
06-Mar-2018 - 00:00,30.58,0.63,61.94,1.78,31.02,17.95,19.42,12.05,53.33,117.29,0.24,5.24,0.07,29.9,36.21,1.24,140.59,121.91,724.42,07-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
07-Mar-2018 - 00:00,30.75,0.59,57.35,1.75,29.35,17.04,16.97,8.53,51.36,111.65,0.16,1.97,0.04,29.78,36.94,1.42,123.93,125.03,724.09,08-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
08-Mar-2018 - 00:00,30.65,0.68,49.24,3.97,37.59,23.23,17.6,7.35,55.25,124.8,0.19,3.01,0.07,29.81,36.6,1.14,124.74,124.68,724.17,09-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
09-Mar-2018 - 00:00,30.5,0.86,54.04,1.78,32.2,18.57,20.98,7.74,61.25,129.14,0.16,2.49,0.1,29.61,41.27,1.08,125.34,120.51,724.4,10-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
10-Mar-2018 - 00:00,30.34,0.9,54.87,2.94,39.51,23.41,23.74,9.43,72.09,151.78,0.24,3.66,0.16,29.83,45.15,1.02,112.73,108.36,724.5,11-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
11-Mar-2018 - 00:00,30.36,0.56,61.04,1.4,21.72,12.69,20.22,7.23,55.36,113.84,0.13,2.09,0.04,29.91,43.76,1.21,121.86,111.33,725.08,12-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
12-Mar-2018 - 00:00,30.51,0.5,47.04,1.74,26.89,15.72,16.79,5.39,41.2,94.8,0.13,1.63,0.07,29.58,43.25,1.14,114.48,107.85,725.7,13-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
13-Mar-2018 - 00:00,30.42,0.56,45.68,2.09,27.84,16.51,16.88,6.37,45.29,101.51,0.17,2.06,0.06,29.72,43.09,1.17,115.4,124.19,725.84,14-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
14-Mar-2018 - 00:00,30.38,0.71,50.48,3.9,37.16,22.94,19.36,8.85,55.01,119.67,0.28,4.16,0.13,30.91,40.95,1.05,127.14,132.68,724.62,15-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
15-Mar-2018 - 00:00,30.49,0.59,49.56,2.41,30.93,18.4,20.51,15.25,55.3,136.2,0.27,4.31,0.13,30.53,41.54,1.44,179.52,74.54,724.41,16-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
16-Mar-2018 - 00:00,30.36,0.64,54.43,1.27,17.07,10.12,20.74,14.94,59.54,112.8,0.16,1.66,0.0,26.67,55.43,1.87,74.89,70.04,724.85,17-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
17-Mar-2018 - 00:00,30.42,0.55,48.83,1.42,17.03,10.22,21.35,5.69,52.57,78.05,0.12,2.0,0.02,26.6,62.3,1.51,95.28,129.51,725.2,18-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
18-Mar-2018 - 00:00,30.36,0.52,39.7,1.44,17.46,10.46,22.45,4.91,41.98,73.32,0.14,2.24,0.02,28.16,58.54,1.22,114.94,138.49,725.42,19-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
19-Mar-2018 - 00:00,30.34,0.6,50.09,1.74,29.89,17.32,15.75,5.3,51.79,105.83,0.16,2.27,0.06,29.83,43.95,0.96,123.49,132.52,726.11,20-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
20-Mar-2018 - 00:00,30.47,0.7,51.26,1.71,33.8,19.37,15.94,8.24,60.46,117.35,0.15,2.16,0.1,30.59,41.47,1.15,161.1,131.77,725.36,21-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
21-Mar-2018 - 00:00,30.43,1.1,49.35,1.77,33.99,19.52,24.7,19.83,64.11,137.26,0.28,7.7,0.38,31.09,41.7,1.23,191.54,122.73,724.57,22-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
22-Mar-2018 - 00:00,30.41,0.73,36.68,2.44,33.76,19.95,28.28,20.18,55.71,139.8,0.43,11.15,0.6,30.58,40.97,1.44,204.22,138.29,723.82,23-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
23-Mar-2018 - 00:00,30.8,0.8,42.31,2.19,36.16,21.03,26.35,17.78,57.14,146.73,0.39,12.14,0.6,31.12,35.1,1.18,182.46,143.61,724.0,24-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
24-Mar-2018 - 00:00,30.75,0.8,47.45,4.07,42.42,25.88,31.43,27.05,59.69,147.95,0.33,10.01,0.66,31.69,35.06,1.12,155.08,142.81,725.1,25-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
25-Mar-2018 - 00:00,30.37,0.73,47.41,1.34,29.28,16.67,32.1,10.57,74.95,148.97,0.23,4.67,0.14,30.59,51.11,1.02,103.84,127.3,726.27,26-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
26-Mar-2018 - 00:00,30.26,0.73,46.53,1.67,26.66,15.53,23.4,7.21,66.21,133.59,0.2,2.63,0.07,30.76,50.15,0.92,128.18,130.77,726.35,27-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
27-Mar-2018 - 00:00,30.4,0.63,52.16,2.0,37.6,21.62,16.7,12.11,67.12,150.31,0.28,7.1,0.24,31.83,40.12,1.13,173.62,136.68,725.12,28-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
28-Mar-2018 - 00:00,30.88,0.62,49.87,1.61,32.47,18.57,18.94,10.76,59.96,134.9,0.35,4.22,0.15,32.57,38.72,1.27,177.86,138.2,724.49,29-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
29-Mar-2018 - 00:00,30.56,0.77,45.0,3.18,36.27,21.88,21.25,10.11,67.2,151.79,0.26,5.26,0.16,32.49,44.28,1.01,159.32,134.12,725.66,30-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
30-Mar-2018 - 00:00,30.24,0.62,34.57,1.69,31.95,18.36,29.4,13.26,65.93,136.55,0.2,2.87,0.1,31.8,50.24,0.93,189.21,177.1,726.59,31-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
31-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,01-Apr-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
01-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,02-Apr-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
02-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,03-Apr-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
03-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,04-Apr-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
04-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,05-Apr-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
05-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,06-Apr-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
06-Apr-2018 - 00:00,30.02,0.18,58.51,1.85,20.58,12.44,18.02,6.52,39.09,107.91,0.08,1.68,0.66,30.54,47.82,2.23,183.45,129.93,723.89,07-Apr-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
07-Apr-2018 - 00:00,30.39,0.46,44.14,1.99,34.08,19.73,33.49,12.22,37.08,89.14,0.47,6.28,0.48,30.39,43.77,1.31,161.18,111.89,723.23,08-Apr-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
08-Apr-2018 - 00:00,30.29,0.45,41.98,1.48,22.27,13.05,22.49,6.22,34.33,71.28,0.19,3.51,1.07,26.94,61.5,1.31,168.05,122.49,724.81,09-Apr-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
09-Apr-2018 - 00:00,30.29,0.73,41.74,4.97,32.64,21.41,20.36,7.88,44.89,109.06,0.19,4.11,0.06,28.62,56.44,0.88,135.05,118.75,724.84,10-Apr-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
10-Apr-2018 - 00:00,30.41,0.47,31.84,2.56,28.65,17.31,18.76,4.92,37.33,98.19,0.15,2.34,0.06,29.6,52.73,0.96,124.39,146.35,724.1,11-Apr-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
11-Apr-2018 - 00:00,30.29,0.35,27.82,2.43,23.54,14.5,18.24,7.94,32.65,82.01,0.12,2.96,0.02,29.28,54.18,1.17,150.6,136.65,724.45,12-Apr-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
12-Apr-2018 - 00:00,30.51,0.52,37.35,1.93,29.84,17.45,18.57,8.81,41.6,104.49,0.2,4.84,0.57,30.41,47.64,1.12,159.19,139.99,723.71,13-Apr-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
13-Apr-2018 - 00:00,30.33,0.45,35.49,2.14,22.77,13.85,17.19,4.59,28.22,75.29,0.1,1.18,0.04,31.15,49.64,1.13,140.06,139.83,723.89,14-Apr-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
14-Apr-2018 - 00:00,30.44,0.49,33.79,2.26,24.26,14.74,16.59,4.78,27.77,77.15,0.09,1.2,0.03,31.89,48.25,1.14,148.49,143.58,723.8,15-Apr-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
