from date,NO2,NH3,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM10,PM2.5,AT,RF,RH,SR,Temp,WD,WS,to date,station
09-Mar-2018 - 00:00,27.72,39.93,16.78,1.21,107.3,10.3,0.17,0.38,7.35,142.36,70.58,27.81,0.0,35.89,115.64,26.57,167.7,1.69,10-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
10-Mar-2018 - 00:00,38.16,44.24,24.11,1.37,91.31,10.63,0.25,0.52,6.23,177.74,79.53,27.84,0.0,35.41,101.32,24.65,158.32,1.54,11-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
11-Mar-2018 - 00:00,24.21,38.32,14.56,0.85,97.19,10.35,0.19,0.39,6.88,113.44,51.57,28.08,0.0,26.34,128.48,25.22,200.64,1.89,12-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
12-Mar-2018 - 00:00,18.14,32.73,12.29,0.54,93.63,8.29,0.14,0.2,5.89,101.65,36.25,27.72,0.0,21.66,135.96,25.85,221.68,2.34,13-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
13-Mar-2018 - 00:00,22.75,38.69,17.19,0.95,93.19,14.14,0.17,0.25,6.32,127.53,62.77,27.73,0.0,26.08,128.58,24.98,212.64,2.18,14-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
14-Mar-2018 - 00:00,16.7,30.16,9.92,0.45,88.88,8.95,0.11,0.2,5.83,120.53,38.93,27.18,0.0,26.14,103.06,26.42,250.43,2.9,15-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
15-Mar-2018 - 00:00,13.81,27.43,8.34,0.34,87.43,10.22,0.09,0.16,5.4,135.89,36.39,27.06,0.0,27.42,114.9,26.51,263.42,3.01,16-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
16-Mar-2018 - 00:00,15.2,27.96,9.31,0.43,89.77,7.84,0.1,0.19,5.89,147.58,41.46,27.43,0.0,28.85,136.01,26.24,227.9,2.66,17-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
17-Mar-2018 - 00:00,22.77,31.98,13.64,0.59,96.61,6.48,0.14,0.23,5.96,167.88,47.62,28.08,0.0,25.05,133.67,26.33,161.65,1.97,18-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
18-Mar-2018 - 00:00,24.2,28.31,14.03,0.82,105.85,7.36,0.16,0.28,5.85,154.33,48.5,28.86,0.0,18.77,128.32,25.46,120.84,2.23,19-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
19-Mar-2018 - 00:00,20.26,34.76,12.71,0.92,107.94,5.97,0.14,0.26,5.5,156.04,53.88,28.34,0.0,31.43,73.67,25.97,133.31,3.06,20-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
20-Mar-2018 - 00:00,16.67,44.37,10.37,0.97,109.23,8.6,0.12,0.17,4.24,161.67,105.91,27.89,0.0,42.67,120.49,25.03,232.79,2.61,21-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
21-Mar-2018 - 00:00,13.31,23.93,8.51,0.53,94.36,8.54,0.07,0.15,4.52,131.35,32.74,27.16,0.0,26.17,143.54,25.93,273.06,3.42,22-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
22-Mar-2018 - 00:00,13.74,26.7,8.23,0.68,100.4,8.28,0.07,0.15,5.05,147.45,41.61,27.06,0.0,33.16,139.54,28.38,258.21,2.66,23-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
23-Mar-2018 - 00:00,15.4,28.39,9.04,1.01,122.78,7.28,0.11,0.16,6.59,124.55,36.44,27.62,0.0,25.58,142.26,30.23,141.38,2.71,24-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
24-Mar-2018 - 00:00,24.01,29.98,13.96,1.21,109.36,6.21,0.15,0.17,5.54,114.97,38.75,28.02,0.0,22.07,140.79,29.43,85.61,2.7,25-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
25-Mar-2018 - 00:00,32.13,38.11,26.88,1.32,88.39,7.33,0.27,0.22,7.16,161.4,62.42,28.66,0.0,21.41,142.41,29.54,96.12,2.21,26-Mar-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
