from date,NO2,NH3,NO,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM2.5,PM10,AT,SR,RH,RF,WD,WS,Temp,to date,station
13-Aug-2018 - 00:00,5.36,20.43,2.42,4.8,0.28,24.14,10.85,0.07,0.36,9.03,15.3,56.67,23.36,124.1,83.82,0.04,250.53,5.0,28.36,14-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
14-Aug-2018 - 00:00,4.6,21.34,2.12,4.19,0.3,24.68,11.78,0.12,0.4,6.1,28.99,120.03,24.18,153.28,81.09,0.0,271.12,4.72,28.73,15-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
15-Aug-2018 - 00:00,2.6,22.26,1.54,2.64,0.29,33.43,7.52,0.12,0.39,5.25,29.37,94.88,23.18,101.19,87.51,0.76,281.89,4.49,28.49,16-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
16-Aug-2018 - 00:00,2.2,24.59,1.51,2.39,0.32,36.37,4.74,0.09,0.09,5.15,19.54,43.69,23.44,85.38,90.4,0.13,308.08,6.01,28.72,17-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
17-Aug-2018 - 00:00,5.58,22.21,1.99,4.58,0.39,29.83,6.18,0.18,0.48,5.49,16.26,32.29,23.07,78.76,91.05,0.13,181.95,4.95,28.8,18-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
18-Aug-2018 - 00:00,7.45,19.61,2.24,5.79,0.35,22.73,10.86,0.14,0.43,5.66,18.21,41.43,21.88,73.61,89.66,0.02,266.65,5.32,28.26,19-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
19-Aug-2018 - 00:00,5.78,20.72,1.69,4.45,0.32,25.14,11.81,0.15,0.37,5.39,22.83,49.49,22.25,61.07,89.77,0.03,277.21,4.92,28.3,20-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
20-Aug-2018 - 00:00,4.57,21.94,2.14,4.18,0.27,31.71,5.31,0.1,0.15,3.98,17.32,32.08,21.75,57.3,91.67,0.28,295.0,4.84,28.3,21-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
21-Aug-2018 - 00:00,5.16,19.26,1.94,4.32,0.25,24.31,5.61,0.1,0.39,4.3,7.03,16.61,19.59,22.56,96.17,0.97,281.57,6.25,28.13,22-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
22-Aug-2018 - 00:00,6.4,17.27,2.26,5.24,0.27,23.33,11.7,0.11,0.44,4.66,16.93,34.64,19.03,44.69,93.54,0.1,267.26,6.71,28.08,23-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
23-Aug-2018 - 00:00,5.29,18.68,2.0,4.42,0.25,23.19,9.58,0.11,0.45,4.41,17.22,40.73,22.24,116.88,86.7,0.01,268.8,6.23,28.34,24-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
24-Aug-2018 - 00:00,5.79,18.9,2.16,4.82,0.25,22.44,8.59,0.1,0.5,4.45,15.2,42.29,22.28,109.34,85.93,0.0,265.78,5.22,28.38,25-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
25-Aug-2018 - 00:00,3.76,20.21,1.5,3.22,0.24,26.08,4.73,0.1,0.49,4.43,15.16,48.28,22.27,138.3,84.53,0.07,260.15,5.27,28.4,26-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
26-Aug-2018 - 00:00,1.11,21.14,1.56,1.82,0.2,26.24,1.89,0.06,0.2,4.06,11.36,40.72,21.63,124.18,85.57,0.01,254.7,4.94,28.38,27-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
27-Aug-2018 - 00:00,4.88,21.26,1.66,3.77,0.23,25.65,6.28,0.07,0.34,4.59,24.06,84.11,21.85,120.8,85.97,0.0,277.2,4.35,28.45,28-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
28-Aug-2018 - 00:00,6.44,23.13,1.54,4.68,0.27,30.7,12.41,0.12,0.31,4.94,37.18,120.77,21.42,66.89,88.54,0.01,284.95,4.54,28.33,29-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
29-Aug-2018 - 00:00,8.6,22.36,2.33,6.48,0.38,24.26,15.3,0.17,0.58,5.58,31.28,89.41,20.38,40.04,93.33,0.24,264.71,4.85,28.06,30-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
30-Aug-2018 - 00:00,7.13,21.89,2.06,5.47,0.26,26.53,12.08,0.11,0.38,5.44,26.9,74.49,20.7,63.21,90.58,0.0,267.62,5.07,28.27,31-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
31-Aug-2018 - 00:00,6.49,21.43,2.29,5.32,0.25,23.25,10.37,0.1,0.25,4.33,21.73,63.99,21.34,73.92,86.98,0.0,273.54,5.26,28.25,01-Sep-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
01-Sep-2018 - 00:00,7.64,20.71,2.24,5.89,0.29,20.24,14.39,0.11,0.43,4.57,21.69,70.02,21.08,85.2,84.86,0.0,268.19,5.28,28.33,02-Sep-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
02-Sep-2018 - 00:00,5.78,20.44,2.0,4.7,0.24,25.38,11.09,0.08,0.24,3.98,16.29,44.17,21.17,103.0,86.06,0.04,271.55,4.89,28.2,03-Sep-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
03-Sep-2018 - 00:00,5.58,20.47,2.09,4.66,0.25,26.6,9.48,0.05,0.32,3.67,10.94,35.99,21.02,131.95,86.73,0.06,254.62,5.29,28.29,04-Sep-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
04-Sep-2018 - 00:00,6.37,20.37,2.09,5.09,0.26,28.15,9.89,0.08,0.46,3.77,18.96,68.23,20.81,116.53,85.74,0.0,265.62,5.33,28.3,05-Sep-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
05-Sep-2018 - 00:00,7.45,21.84,1.89,5.5,0.27,31.77,12.08,0.1,0.44,4.22,32.44,114.57,20.72,112.28,83.77,0.01,272.71,5.9,28.38,06-Sep-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
06-Sep-2018 - 00:00,7.23,22.46,1.83,5.33,0.23,36.36,11.87,0.11,0.33,3.87,41.45,103.35,20.73,95.28,81.52,0.0,278.44,5.89,28.4,07-Sep-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
07-Sep-2018 - 00:00,7.02,23.3,2.0,5.36,0.23,29.21,8.65,0.11,0.23,3.8,28.84,77.44,18.88,60.15,88.75,0.04,291.05,4.71,28.24,08-Sep-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
08-Sep-2018 - 00:00,7.76,22.12,2.24,5.95,0.28,28.65,10.36,0.1,0.35,3.87,26.76,72.44,18.9,65.89,87.75,0.01,262.04,6.26,28.35,09-Sep-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
09-Sep-2018 - 00:00,6.4,21.09,2.12,5.13,0.21,30.33,9.64,0.07,0.17,2.99,19.8,64.46,19.53,100.03,86.11,0.0,263.06,5.18,28.33,10-Sep-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
10-Sep-2018 - 00:00,8.19,20.44,1.95,5.94,0.27,31.61,10.09,0.1,0.45,4.11,25.33,84.36,22.16,177.92,74.9,0.0,256.15,4.02,28.37,11-Sep-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
11-Sep-2018 - 00:00,8.59,22.97,2.1,6.28,0.27,35.2,10.46,0.12,0.66,4.27,29.18,86.38,22.7,184.19,76.78,0.0,260.74,4.38,28.27,12-Sep-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
12-Sep-2018 - 00:00,8.76,21.83,1.88,6.18,0.3,34.86,16.31,0.11,0.45,4.79,30.53,90.81,22.43,147.64,75.78,0.0,269.48,4.39,28.32,13-Sep-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
13-Sep-2018 - 00:00,8.71,21.29,2.09,6.32,0.26,28.18,13.42,0.12,0.58,4.35,27.42,87.46,21.37,145.81,78.78,0.0,255.98,4.0,28.33,14-Sep-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
14-Sep-2018 - 00:00,7.27,21.34,1.64,5.21,0.27,35.76,6.71,0.08,0.45,4.67,19.67,76.35,23.07,165.45,73.71,0.0,259.57,3.15,28.32,15-Sep-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
15-Sep-2018 - 00:00,7.23,23.35,1.77,5.28,0.35,40.55,7.69,0.13,0.42,5.31,33.7,93.47,23.85,162.0,72.26,0.0,288.94,2.81,28.36,16-Sep-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
16-Sep-2018 - 00:00,4.93,24.01,1.43,3.78,0.29,54.56,5.15,0.12,0.32,5.34,27.12,74.6,24.73,177.75,70.23,0.0,306.01,3.65,28.4,17-Sep-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
17-Sep-2018 - 00:00,4.36,23.39,1.44,3.49,0.29,57.91,5.36,0.11,0.3,5.02,26.53,82.58,26.2,200.88,65.17,0.0,304.73,4.18,28.36,18-Sep-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
