from date,CO,Ozone,NO2,NO,NOx,SO2,RH,VWS,WS,WD,PM2.5,SR,Benzene,MP-Xylene,Toluene,O Xylene,Eth-Benzene,to date,BP,station
11-Apr-2018 - 00:00,0.6,26.48,27.35,19.96,23.16,4.28,63.17,0.1,0.38,121.8,14.08,239.68,0.16,,1.87,0.07,0.45,12-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
12-Apr-2018 - 00:00,0.88,20.6,27.3,15.93,20.13,4.3,61.8,0.1,0.42,131.56,18.66,245.72,2.86,,8.31,0.0,0.42,13-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
13-Apr-2018 - 00:00,0.89,16.03,32.3,19.15,24.91,3.82,62.49,0.1,0.42,140.24,12.64,223.64,0.24,,5.15,0.08,0.44,14-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
14-Apr-2018 - 00:00,0.79,22.7,27.72,17.1,21.22,4.21,62.15,0.1,0.44,158.08,9.53,223.13,0.0,,1.4,0.0,0.0,15-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
15-Apr-2018 - 00:00,0.58,25.08,24.46,12.08,15.88,3.38,62.32,0.11,0.51,156.29,6.44,239.52,0.0,,0.25,0.0,0.0,16-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
16-Apr-2018 - 00:00,0.95,23.97,28.23,14.12,19.24,4.59,62.76,0.19,1.57,153.83,8.31,239.43,0.21,,1.01,0.0,0.06,17-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
17-Apr-2018 - 00:00,0.88,24.58,28.82,17.53,22.07,3.7,62.89,0.27,2.45,160.79,4.83,220.84,1.67,,3.04,0.0,0.0,18-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
18-Apr-2018 - 00:00,0.73,24.33,30.33,17.83,23.04,4.01,63.05,0.3,2.9,168.46,43.96,232.21,4.9,,11.4,0.11,1.08,19-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
19-Apr-2018 - 00:00,0.86,28.11,35.34,16.06,24.16,3.81,60.09,0.3,2.87,178.49,24.16,178.62,2.65,,8.05,0.0,0.84,20-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
20-Apr-2018 - 00:00,0.79,32.02,34.35,13.03,21.42,4.24,63.88,0.34,3.29,172.26,25.47,214.55,3.21,,6.14,0.05,0.49,21-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
21-Apr-2018 - 00:00,0.79,34.8,31.35,12.51,19.55,3.8,64.47,0.33,3.26,171.22,21.35,212.51,2.66,,7.52,0.0,0.19,22-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
22-Apr-2018 - 00:00,0.74,33.98,29.51,10.81,17.39,4.15,62.04,0.31,3.04,175.09,31.52,216.49,1.2,,6.84,0.0,0.0,23-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
23-Apr-2018 - 00:00,0.72,30.5,30.5,11.74,18.58,3.75,63.9,0.31,2.96,167.37,43.55,217.61,1.62,,7.19,0.0,0.49,24-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
