from date,Ozone,NO,NO2,NOx,SO2,Benzene,Xylene,Toluene,WS,RH,WD,SR,PM2.5,PM10,Temp,RF,AP,CO,to date,station
05-Oct-2018 - 00:00,6.95,8.69,10.08,18.41,27.1,0.92,,0.38,0.28,,144.48,,47.79,88.21,43.09,0.07,36.93,1.37,06-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
06-Oct-2018 - 00:00,6.91,8.64,10.03,18.32,26.96,1.25,,0.55,0.28,,137.94,,60.51,120.48,37.97,0.1,36.86,1.48,07-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
07-Oct-2018 - 00:00,7.02,8.77,10.17,18.59,27.36,0.63,,0.25,0.28,,130.66,,59.53,108.93,40.49,0.05,36.57,1.3,08-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
08-Oct-2018 - 00:00,6.96,8.69,10.09,18.43,27.13,0.72,,0.31,0.28,,170.76,,60.72,112.72,43.04,0.07,36.46,1.34,09-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
09-Oct-2018 - 00:00,7.05,8.81,10.22,18.67,27.48,0.47,,0.17,0.28,,136.23,,54.53,96.81,31.73,0.05,36.59,1.24,10-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
10-Oct-2018 - 00:00,7.11,8.88,10.3,18.83,27.71,0.27,,0.07,0.28,,130.74,,67.13,110.05,31.54,0.04,36.46,1.21,11-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
11-Oct-2018 - 00:00,7.11,8.89,10.31,18.84,27.73,0.3,,0.08,0.28,,122.46,,67.75,113.03,30.36,0.03,36.49,1.19,12-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
12-Oct-2018 - 00:00,7.73,9.66,11.2,20.05,29.29,0.44,,0.14,0.28,,147.85,,68.21,122.33,31.78,0.04,36.51,1.24,13-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
13-Oct-2018 - 00:00,6.66,8.32,9.66,17.64,25.97,0.5,,0.15,0.28,,147.55,,60.16,117.95,24.0,0.04,28.0,1.17,14-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
14-Oct-2018 - 00:00,6.84,8.55,9.92,18.13,26.68,0.34,,0.1,,,,,56.7,112.77,,0.03,0.0,1.17,15-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
15-Oct-2018 - 00:00,6.54,8.17,9.48,17.28,25.49,0.96,,0.45,0.28,,253.4,,64.3,131.41,21.17,0.1,11.86,1.39,16-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
