from date,PM2.5,BP,Temp,SR,RH,RF,WS,WD,PM10,VWS,SO2,NO,NOx,NO2,CO,Benzene,Toluene,MP-Xylene,Xylene,Eth-Benzene,Ozone,to date,station
09-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.06,0.0,1.8,0.0,0.0,1.42,0.0,,0.0,10-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
10-Mar-2018 - 00:00,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.34,0.0,1.74,0.0,0.0,0.42,0.0,,0.0,11-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
11-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.72,93.69,0.0,1.91,0.0,0.0,1.14,0.0,,0.0,12-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
12-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.43,0.0,1.63,0.0,0.0,1.51,0.0,,0.0,13-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
13-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.38,0.0,1.32,0.0,0.0,1.24,0.0,,26.25,14-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
14-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.9,0.0,1.26,0.0,0.0,1.78,0.0,,208.33,15-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
15-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.45,0.0,1.33,0.0,0.0,1.33,0.0,,699.84,16-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
16-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.02,0.0,1.51,0.0,0.0,1.52,0.0,,0.14,17-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
17-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.88,0.0,1.45,0.0,0.0,0.79,0.0,,0.0,18-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
18-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.34,0.0,1.36,0.0,0.0,0.37,0.0,,0.0,19-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
19-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.87,0.0,1.41,0.0,0.0,0.39,0.0,,0.0,20-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
20-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.57,0.0,1.44,0.0,0.0,0.51,0.0,,0.0,21-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
21-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4,0.0,1.54,0.0,0.0,0.31,0.0,,0.0,22-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
