from date,AT,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,CO,NO,NO2,NOx,Ozone,PM2.5,RH,SO2,SR,VWS,WD,WS,to date,BP,station
18-Dec-2018 - 00:00,25.0,4.08,32.34,6.94,,,0.63,29.32,77.83,34.85,61.9,242.4,11.86,38.8,778.17,0.45,201.24,0.95,19-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
19-Dec-2018 - 00:00,25.18,4.12,32.33,6.97,,,0.6,47.85,94.98,49.02,55.21,126.29,12.27,61.49,778.15,0.45,201.24,0.74,20-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
20-Dec-2018 - 00:00,25.45,4.08,32.39,6.99,,,0.62,58.31,77.07,50.81,57.95,104.92,12.93,83.04,783.51,0.45,201.24,0.75,21-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
21-Dec-2018 - 00:00,26.0,4.1,32.39,7.0,,,0.52,58.57,82.73,52.17,,92.47,14.22,60.27,772.92,0.45,201.24,0.7,22-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
22-Dec-2018 - 00:00,26.12,4.09,32.37,6.99,,,0.58,69.43,92.72,86.39,56.97,117.45,14.51,80.59,753.73,0.45,201.24,0.57,23-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
23-Dec-2018 - 00:00,26.47,4.11,32.37,6.96,,,0.52,34.04,93.57,41.22,54.92,96.6,15.32,54.6,770.58,0.45,201.24,0.85,24-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
24-Dec-2018 - 00:00,26.4,4.07,32.36,6.95,,,0.55,10.61,91.34,27.64,64.84,71.99,15.17,53.84,762.8,0.45,201.24,1.21,25-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
25-Dec-2018 - 00:00,25.94,4.07,32.33,6.94,,,0.52,12.72,93.41,29.31,70.59,80.87,14.08,66.21,744.67,0.45,201.24,1.2,26-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
26-Dec-2018 - 00:00,25.31,4.08,32.3,6.94,,,0.48,28.58,79.29,34.78,62.33,94.04,12.58,55.74,718.85,0.45,201.24,1.45,27-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
27-Dec-2018 - 00:00,25.4,4.09,32.32,6.99,,,0.49,91.54,72.01,73.91,47.11,83.06,12.8,65.48,690.72,0.45,201.24,0.72,28-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
28-Dec-2018 - 00:00,24.89,4.07,32.36,6.94,,,0.51,47.83,84.8,45.35,45.2,85.12,11.6,66.62,674.56,0.45,201.24,0.72,29-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
29-Dec-2018 - 00:00,24.55,4.05,32.31,6.94,,,0.47,16.93,83.07,29.19,52.6,69.72,10.79,62.94,755.49,0.45,201.24,0.83,30-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
30-Dec-2018 - 00:00,25.06,4.07,32.3,6.97,,,0.52,17.19,82.14,29.12,63.62,68.51,12.0,57.72,773.32,0.45,201.24,0.76,31-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
31-Dec-2018 - 00:00,24.49,4.28,32.2,6.81,,,0.5,17.76,150.07,45.6,17.03,114.59,10.66,70.05,719.7,0.45,201.24,0.53,01-Jan-2019 - 00:00,,"Maninagar, Ahmedabad - GPCB"
