from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,VWS,to date,station
04-Mar-2018 - 00:00,33.76,1.03,49.0,8.16,54.54,34.02,23.14,3.5,45.91,87.19,0.04,1.7,0.16,24.2,41.05,1.22,224.25,2.0,718.65,0.0,0.0,05-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
05-Mar-2018 - 00:00,35.18,0.98,49.89,5.18,58.1,34.05,35.1,4.55,40.04,78.68,0.01,0.93,0.0,33.06,28.8,5.14,258.7,685.8,721.6,0.02,0.0,06-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
06-Mar-2018 - 00:00,30.22,0.93,64.12,11.1,44.36,29.34,18.82,5.13,45.57,92.76,0.16,1.89,0.17,31.3,32.5,2.29,220.95,271.69,723.97,0.0,0.0,07-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
07-Mar-2018 - 00:00,32.43,0.86,53.63,9.48,46.46,29.51,30.3,6.34,51.83,95.22,0.28,1.34,0.07,29.61,35.74,2.94,247.04,240.26,720.76,0.01,0.0,08-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
08-Mar-2018 - 00:00,31.66,0.98,42.75,9.04,52.77,32.63,27.35,4.92,52.64,108.33,0.41,2.45,0.21,29.93,35.34,2.04,224.97,238.91,722.43,0.01,0.0,09-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
09-Mar-2018 - 00:00,29.46,1.06,40.2,7.36,57.57,35.15,16.46,3.48,52.74,101.44,0.15,2.53,0.01,27.9,42.18,1.85,215.28,192.84,722.3,0.0,0.0,10-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
10-Mar-2018 - 00:00,29.37,1.08,46.54,7.3,57.58,35.12,18.31,2.96,62.33,112.88,0.22,2.56,0.05,28.23,45.83,2.02,213.62,185.21,721.79,0.0,0.0,11-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
11-Mar-2018 - 00:00,30.14,0.95,53.48,6.74,45.79,28.51,16.74,2.74,48.71,92.12,0.04,0.79,0.03,29.11,42.75,2.29,236.75,174.24,722.68,0.0,0.0,12-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
12-Mar-2018 - 00:00,29.52,0.88,37.94,7.17,51.38,31.73,16.11,2.55,34.3,72.47,0.02,0.74,0.01,28.59,44.34,1.88,220.11,169.3,723.48,0.0,0.0,13-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
13-Mar-2018 - 00:00,30.51,0.9,36.21,7.1,56.3,34.31,18.53,4.49,37.39,74.78,0.26,2.14,0.06,28.49,43.85,2.16,208.86,269.08,722.61,0.0,0.0,14-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
14-Mar-2018 - 00:00,30.09,0.91,47.91,6.9,48.87,30.24,17.21,3.89,40.71,77.92,0.05,1.86,0.03,32.63,32.73,2.21,203.12,232.6,718.79,0.01,0.0,15-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
15-Mar-2018 - 00:00,29.57,0.9,40.34,6.97,49.48,30.61,18.45,3.64,48.91,95.78,0.15,4.34,0.66,29.58,41.28,2.34,229.06,107.96,719.44,0.0,0.0,16-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
16-Mar-2018 - 00:00,29.49,1.08,29.42,8.51,67.77,41.27,29.02,7.32,64.74,147.21,1.28,17.54,2.8,26.29,50.24,2.98,126.98,95.44,720.3,0.0,0.0,17-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
17-Mar-2018 - 00:00,29.24,0.94,34.19,7.37,49.72,30.97,21.47,3.26,54.71,75.98,0.29,3.85,0.12,26.04,60.0,2.25,188.18,188.56,721.26,0.0,0.0,18-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
18-Mar-2018 - 00:00,29.03,0.83,32.94,7.99,43.24,27.9,15.94,2.39,,68.38,0.0,0.8,0.0,27.32,56.59,2.11,200.85,211.28,721.93,0.0,0.0,19-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
19-Mar-2018 - 00:00,29.81,0.89,44.9,7.24,46.64,29.25,17.06,2.99,50.76,84.99,0.09,1.46,0.01,28.31,45.79,1.67,193.92,188.88,723.55,0.0,0.0,20-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
20-Mar-2018 - 00:00,29.55,0.91,38.16,7.31,55.4,33.95,16.89,2.8,48.08,85.05,0.04,1.08,0.0,29.08,41.6,1.84,219.22,199.03,721.1,0.0,0.0,21-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
21-Mar-2018 - 00:00,29.41,1.0,27.67,7.94,67.8,40.94,25.41,4.74,62.65,118.16,1.24,9.72,1.3,29.93,40.96,1.5,200.31,171.4,719.17,0.0,0.0,22-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
22-Mar-2018 - 00:00,29.86,1.06,16.33,14.35,79.64,51.13,30.43,6.26,54.07,146.23,1.0,13.43,3.85,29.66,38.82,1.91,197.27,217.29,717.55,0.0,0.0,23-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
23-Mar-2018 - 00:00,29.88,1.02,21.07,9.89,81.61,49.46,27.65,6.13,48.36,138.68,1.57,15.77,7.44,30.1,34.4,1.58,196.94,224.49,717.73,0.0,0.0,24-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
24-Mar-2018 - 00:00,29.84,1.16,24.39,10.85,82.59,50.58,24.68,5.48,55.26,143.81,1.0,14.4,4.22,30.32,35.11,1.59,186.04,221.73,720.67,0.0,0.0,25-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
25-Mar-2018 - 00:00,29.61,1.3,33.72,11.55,73.43,46.12,24.03,3.91,68.46,146.07,0.69,9.84,1.52,29.54,46.83,1.7,164.33,192.5,723.72,0.0,0.0,26-Mar-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
