from date,NO2,NOx,NH3,NO,SO2,CO,PM2.5,PM10,Benzene,O Xylene,MP-Xylene,Toluene,Ozone,Temp,VWS,SR,RH,RF,WD,WS,BP,to date,station
22-Nov-2018 - 00:00,39.22,65.13,27.88,25.91,4.74,0.77,81.33,164.34,6.59,2.93,4.93,17.62,27.51,20.58,-0.01,167.96,77.45,0.0,226.12,0.31,,23-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
23-Nov-2018 - 00:00,41.59,78.68,26.85,38.6,4.65,0.89,75.74,166.15,6.78,3.4,6.08,24.19,22.79,20.02,0.0,131.51,79.29,0.0,212.11,0.26,,24-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
24-Nov-2018 - 00:00,38.94,81.14,35.56,42.2,4.7,0.86,84.67,195.12,8.42,4.51,7.53,20.2,26.3,20.86,0.01,166.13,77.58,0.0,226.12,0.21,,25-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
25-Nov-2018 - 00:00,36.51,57.42,29.47,22.14,29.18,0.81,72.76,147.08,6.15,2.79,5.04,15.41,23.3,20.82,0.01,179.18,76.55,0.0,197.01,0.36,,26-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
26-Nov-2018 - 00:00,41.51,63.78,35.08,24.27,3.63,0.65,58.86,165.33,5.09,2.43,4.55,12.77,21.09,21.55,0.01,187.55,69.46,0.0,146.03,0.54,,27-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
27-Nov-2018 - 00:00,43.56,78.28,38.94,35.8,3.94,0.71,58.25,163.92,8.72,4.46,7.1,14.3,18.64,20.94,0.01,173.81,72.6,0.0,203.42,0.33,,28-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
28-Nov-2018 - 00:00,41.24,67.9,34.13,29.63,4.93,0.75,49.6,134.14,5.06,3.08,4.51,12.8,22.36,20.84,0.01,159.04,70.95,0.0,236.35,0.34,,29-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
29-Nov-2018 - 00:00,42.32,70.3,30.96,30.04,5.06,0.76,56.96,159.36,5.58,2.8,4.34,15.26,26.57,20.72,0.01,176.49,74.23,0.0,203.48,0.31,,30-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
30-Nov-2018 - 00:00,43.9,76.01,29.95,32.12,5.81,0.75,74.45,180.03,8.58,4.85,6.94,20.65,27.7,20.45,0.01,158.89,75.34,0.0,209.44,0.32,,01-Dec-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
01-Dec-2018 - 00:00,42.19,67.26,27.52,25.06,4.73,0.81,74.98,178.0,6.83,3.13,5.34,15.95,29.2,20.48,0.01,157.88,74.81,0.0,204.86,0.32,,02-Dec-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
