from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
11-Dec-2018 - 00:00,,,,,,,,,,556.77,404.89,19.4,27.4,46.8,0.65,,34.93,12-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
12-Dec-2018 - 00:00,,,,,,,,,,322.99,237.51,10.14,20.25,30.39,0.78,,30.3,13-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
13-Dec-2018 - 00:00,,,,,,,,,,109.32,75.24,8.13,18.27,26.4,1.14,,26.88,14-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
14-Dec-2018 - 00:00,,,,,,,,,,169.21,102.43,8.59,18.36,26.95,1.83,,29.57,15-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
15-Dec-2018 - 00:00,,,,,,,,,,175.3,104.56,7.46,17.68,25.14,2.46,,27.55,16-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
16-Dec-2018 - 00:00,,,,,,,,,,236.33,147.14,8.55,18.47,27.02,2.46,,30.25,17-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
17-Dec-2018 - 00:00,,,,,,,,,,299.73,166.51,13.12,21.47,34.59,2.31,,26.51,18-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
18-Dec-2018 - 00:00,,,,,,,,,,313.25,193.17,9.69,20.16,29.86,2.46,,24.74,19-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
19-Dec-2018 - 00:00,,,,,,,,,,436.74,318.85,14.44,22.44,36.88,2.08,,25.33,20-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
20-Dec-2018 - 00:00,,,,,,,,,,492.14,313.03,24.59,27.16,51.75,1.71,,27.81,21-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
21-Dec-2018 - 00:00,,,,,,,,,,417.71,328.38,15.06,22.51,37.57,2.18,,27.74,22-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
22-Dec-2018 - 00:00,,,,,,,,,,554.72,421.21,15.37,23.45,38.82,1.92,,26.27,23-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
23-Dec-2018 - 00:00,,,,,,,,,,670.32,541.21,19.53,25.21,44.74,1.54,23.72,27.11,24-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
24-Dec-2018 - 00:00,,,,,,,,,,595.32,435.9,25.07,27.42,52.49,1.46,,25.1,25-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
25-Dec-2018 - 00:00,,,,,,,,,,354.89,245.86,9.73,19.48,29.22,2.53,,25.2,26-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
26-Dec-2018 - 00:00,,,,,,,,,,397.04,293.55,17.2,22.14,39.33,2.48,41.08,26.22,27-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
27-Dec-2018 - 00:00,,,,,,,,,,487.02,304.19,26.95,28.36,55.31,1.97,42.47,26.35,28-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
28-Dec-2018 - 00:00,,,,,,,,,,404.58,262.24,20.44,27.37,47.81,2.95,47.81,25.26,29-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
29-Dec-2018 - 00:00,,,,,,,,,,422.1,285.85,41.64,39.06,80.7,2.68,0.0,26.97,30-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
30-Dec-2018 - 00:00,,,,,,,,,,617.55,408.29,68.98,51.7,120.68,1.97,,26.4,31-Dec-2018 - 00:00,"Burari Crossing, Delhi - IMD"
31-Dec-2018 - 00:00,,,,,,,,,,615.01,359.68,69.93,48.86,118.76,1.84,,24.18,01-Jan-2019 - 00:00,"Burari Crossing, Delhi - IMD"
