from date,NOx,Ozone,PM2.5,SO2,Benzene,Toluene,Eth-Benzene,MP-Xylene,O Xylene,RH,SR,VWS,WS,NO,WD,NO2,to date,BP,CO,station
17-Aug-2018 - 00:00,24.15,4.0,34.01,5.89,0.22,0.04,0.02,0.03,0.07,89.66,89.61,-0.05,44.19,11.01,242.73,29.02,18-Aug-2018 - 00:00,996.94,0.64,"Lalbagh, Lucknow - CPCB"
18-Aug-2018 - 00:00,26.5,2.18,43.58,5.36,0.13,0.04,0.01,0.02,0.05,82.89,99.43,-0.04,40.54,11.96,247.52,32.09,19-Aug-2018 - 00:00,996.37,0.7,"Lalbagh, Lucknow - CPCB"
19-Aug-2018 - 00:00,28.06,3.7,47.55,5.84,0.02,0.01,0.0,0.0,0.0,89.55,72.11,-0.02,44.12,12.89,243.73,33.59,20-Aug-2018 - 00:00,996.06,0.73,"Lalbagh, Lucknow - CPCB"
20-Aug-2018 - 00:00,25.83,2.82,30.64,4.6,0.32,0.11,0.02,0.04,0.09,92.5,66.62,-0.02,45.71,11.54,238.56,31.38,21-Aug-2018 - 00:00,998.31,0.7,"Lalbagh, Lucknow - CPCB"
21-Aug-2018 - 00:00,22.45,1.9,29.29,4.32,0.18,0.07,0.01,0.02,0.06,91.66,29.45,-0.04,45.26,10.62,238.68,27.09,22-Aug-2018 - 00:00,998.09,0.62,"Lalbagh, Lucknow - CPCB"
22-Aug-2018 - 00:00,22.68,19.85,39.6,5.5,0.09,0.03,0.01,0.01,0.01,91.13,37.18,-0.06,44.98,10.0,240.22,27.71,23-Aug-2018 - 00:00,997.22,0.6,"Lalbagh, Lucknow - CPCB"
23-Aug-2018 - 00:00,25.89,8.21,30.44,3.75,0.04,0.02,0.0,0.0,0.01,97.12,23.88,-0.01,48.2,11.34,231.83,31.81,24-Aug-2018 - 00:00,998.19,0.65,"Lalbagh, Lucknow - CPCB"
24-Aug-2018 - 00:00,29.79,10.4,29.97,4.33,0.22,0.06,0.02,0.03,0.06,99.12,31.91,-0.01,31.22,13.26,224.73,36.17,25-Aug-2018 - 00:00,998.07,0.8,"Lalbagh, Lucknow - CPCB"
25-Aug-2018 - 00:00,33.9,8.29,27.08,4.49,0.13,0.06,0.02,0.02,0.04,99.0,48.15,-0.01,0.54,14.11,268.93,42.61,26-Aug-2018 - 00:00,997.2,0.81,"Lalbagh, Lucknow - CPCB"
26-Aug-2018 - 00:00,32.49,6.36,51.06,4.49,0.21,0.06,0.01,0.02,0.04,98.83,57.64,-0.01,0.46,15.97,210.84,37.19,27-Aug-2018 - 00:00,996.19,0.7,"Lalbagh, Lucknow - CPCB"
27-Aug-2018 - 00:00,29.86,9.36,35.88,4.5,0.18,0.04,0.02,0.02,0.04,94.77,76.11,-0.02,0.5,14.19,119.48,34.9,28-Aug-2018 - 00:00,997.85,0.66,"Lalbagh, Lucknow - CPCB"
28-Aug-2018 - 00:00,25.51,7.05,36.82,4.49,0.11,0.05,0.01,0.02,0.02,94.02,47.97,-0.07,0.87,11.64,97.65,30.6,29-Aug-2018 - 00:00,999.8,0.64,"Lalbagh, Lucknow - CPCB"
29-Aug-2018 - 00:00,31.06,4.45,30.14,4.49,0.09,0.02,0.01,0.01,0.02,96.11,30.2,-0.05,0.83,16.94,119.25,32.99,30-Aug-2018 - 00:00,,0.73,"Lalbagh, Lucknow - CPCB"
30-Aug-2018 - 00:00,31.25,8.72,32.79,5.12,0.05,0.02,0.01,0.01,0.01,94.97,64.57,-0.01,0.41,17.43,226.27,32.67,31-Aug-2018 - 00:00,998.78,0.83,"Lalbagh, Lucknow - CPCB"
31-Aug-2018 - 00:00,34.54,12.1,21.12,6.63,0.05,0.01,0.0,0.01,0.02,98.78,113.26,-0.01,0.49,14.37,184.55,43.47,01-Sep-2018 - 00:00,999.79,0.72,"Lalbagh, Lucknow - CPCB"
01-Sep-2018 - 00:00,28.03,21.5,34.35,6.15,0.02,0.0,0.01,0.0,0.0,97.06,167.2,-0.01,0.48,13.14,178.54,33.02,02-Sep-2018 - 00:00,,0.8,"Lalbagh, Lucknow - CPCB"
02-Sep-2018 - 00:00,29.2,24.51,22.34,5.55,0.01,0.01,0.0,0.0,0.0,98.59,147.69,-0.02,0.55,11.29,124.91,38.0,03-Sep-2018 - 00:00,,0.75,"Lalbagh, Lucknow - CPCB"
03-Sep-2018 - 00:00,37.75,14.14,27.08,6.18,0.01,0.01,0.0,0.0,0.0,99.15,63.54,-0.0,0.35,18.65,169.02,43.09,04-Sep-2018 - 00:00,,0.76,"Lalbagh, Lucknow - CPCB"
04-Sep-2018 - 00:00,34.8,9.53,28.93,6.3,0.0,0.0,0.0,0.0,0.0,99.15,36.53,0.01,0.67,18.27,302.19,38.07,05-Sep-2018 - 00:00,,0.9,"Lalbagh, Lucknow - CPCB"
05-Sep-2018 - 00:00,27.02,17.28,21.32,6.69,0.0,0.0,0.0,0.0,0.0,99.13,83.94,0.0,0.7,13.15,312.2,31.26,06-Sep-2018 - 00:00,999.89,0.68,"Lalbagh, Lucknow - CPCB"
06-Sep-2018 - 00:00,38.52,15.12,44.89,7.76,0.0,0.0,0.0,0.0,0.0,99.15,77.22,-0.0,0.55,20.41,246.79,41.93,07-Sep-2018 - 00:00,999.78,1.15,"Lalbagh, Lucknow - CPCB"
07-Sep-2018 - 00:00,27.59,16.95,30.88,2.37,0.0,0.0,0.0,0.0,0.0,90.26,107.58,-0.03,1.36,13.05,96.63,32.41,08-Sep-2018 - 00:00,,0.75,"Lalbagh, Lucknow - CPCB"
08-Sep-2018 - 00:00,28.53,17.07,41.29,4.13,0.0,0.0,0.0,0.0,0.0,94.08,139.77,-0.1,1.31,13.52,119.81,33.46,09-Sep-2018 - 00:00,980.98,0.81,"Lalbagh, Lucknow - CPCB"
09-Sep-2018 - 00:00,31.25,18.93,40.16,3.82,0.0,0.0,0.0,0.0,0.0,87.39,393.28,-0.02,,15.14,,36.08,10-Sep-2018 - 00:00,874.28,0.85,"Lalbagh, Lucknow - CPCB"
10-Sep-2018 - 00:00,34.55,14.5,54.98,4.43,0.0,0.0,0.0,0.0,0.0,91.94,305.69,-0.03,1.23,16.72,14.38,39.84,11-Sep-2018 - 00:00,902.77,0.95,"Lalbagh, Lucknow - CPCB"
11-Sep-2018 - 00:00,33.31,19.23,57.6,4.85,0.0,0.0,0.0,0.0,0.0,92.45,7.77,-0.04,1.27,17.33,15.94,36.61,12-Sep-2018 - 00:00,996.28,1.05,"Lalbagh, Lucknow - CPCB"
12-Sep-2018 - 00:00,36.7,24.13,63.38,4.82,0.0,0.0,0.0,0.0,0.0,95.78,83.88,-0.04,1.1,20.91,14.78,37.61,13-Sep-2018 - 00:00,999.69,1.1,"Lalbagh, Lucknow - CPCB"
13-Sep-2018 - 00:00,27.62,17.76,58.08,4.63,0.0,0.0,0.0,0.0,0.0,90.72,165.76,-0.05,1.03,14.34,37.35,30.46,14-Sep-2018 - 00:00,,0.94,"Lalbagh, Lucknow - CPCB"
14-Sep-2018 - 00:00,31.4,23.13,69.68,5.42,0.0,0.0,0.0,0.0,0.0,84.85,72.95,-0.06,1.11,13.47,65.68,39.03,15-Sep-2018 - 00:00,996.36,0.86,"Lalbagh, Lucknow - CPCB"
15-Sep-2018 - 00:00,27.2,26.61,72.62,5.67,0.0,0.0,0.0,0.0,0.0,82.51,72.32,-0.06,1.04,11.61,65.14,34.06,16-Sep-2018 - 00:00,996.29,0.96,"Lalbagh, Lucknow - CPCB"
16-Sep-2018 - 00:00,24.82,26.29,70.87,4.63,0.0,0.0,0.0,0.0,0.0,77.07,73.59,-0.05,0.83,9.7,64.39,32.73,17-Sep-2018 - 00:00,996.72,0.79,"Lalbagh, Lucknow - CPCB"
17-Sep-2018 - 00:00,23.72,10.06,81.97,5.27,0.0,0.0,0.0,0.0,0.0,75.76,72.23,-0.03,0.89,9.54,64.3,31.5,18-Sep-2018 - 00:00,996.37,0.72,"Lalbagh, Lucknow - CPCB"
18-Sep-2018 - 00:00,24.14,16.97,84.29,5.12,0.0,0.0,0.0,0.0,0.0,73.24,153.04,-0.01,1.73,10.13,131.45,31.68,19-Sep-2018 - 00:00,975.26,0.83,"Lalbagh, Lucknow - CPCB"
19-Sep-2018 - 00:00,38.28,10.09,102.93,7.15,0.01,0.01,0.0,0.0,0.0,70.24,100.57,-0.04,6.46,16.41,191.36,48.17,20-Sep-2018 - 00:00,996.88,1.1,"Lalbagh, Lucknow - CPCB"
20-Sep-2018 - 00:00,35.53,12.19,86.79,4.4,0.04,0.01,0.0,0.01,0.0,81.84,245.73,-0.05,7.66,18.13,180.94,40.74,21-Sep-2018 - 00:00,965.07,0.85,"Lalbagh, Lucknow - CPCB"
21-Sep-2018 - 00:00,15.19,8.04,19.25,3.35,0.03,0.02,0.01,0.01,0.0,93.74,235.06,-0.03,1.39,8.08,118.15,17.29,22-Sep-2018 - 00:00,968.8,0.57,"Lalbagh, Lucknow - CPCB"
22-Sep-2018 - 00:00,16.28,9.74,32.08,2.93,0.05,0.04,0.0,0.01,0.04,97.85,50.56,-0.1,1.22,9.58,101.04,17.0,23-Sep-2018 - 00:00,,0.69,"Lalbagh, Lucknow - CPCB"
23-Sep-2018 - 00:00,19.53,8.64,58.36,2.45,0.05,0.05,0.02,0.02,0.03,91.22,132.86,-0.07,0.72,9.38,129.85,23.5,24-Sep-2018 - 00:00,,0.74,"Lalbagh, Lucknow - CPCB"
24-Sep-2018 - 00:00,33.25,12.97,70.2,4.24,0.13,0.02,0.0,0.01,0.02,83.69,106.22,-0.01,0.56,15.02,206.18,40.41,25-Sep-2018 - 00:00,,0.96,"Lalbagh, Lucknow - CPCB"
25-Sep-2018 - 00:00,30.21,7.75,48.37,2.88,0.07,0.02,0.01,0.02,0.02,88.14,95.97,-0.04,0.6,17.22,233.86,31.41,26-Sep-2018 - 00:00,,0.75,"Lalbagh, Lucknow - CPCB"
26-Sep-2018 - 00:00,20.65,11.7,43.75,3.64,0.07,0.04,0.0,0.02,0.0,87.54,79.94,0.0,0.65,8.99,302.28,26.44,27-Sep-2018 - 00:00,,0.83,"Lalbagh, Lucknow - CPCB"
27-Sep-2018 - 00:00,28.69,10.74,68.99,4.54,0.06,0.02,0.01,0.01,0.02,81.28,76.79,-0.01,0.46,10.41,276.97,39.01,28-Sep-2018 - 00:00,,0.93,"Lalbagh, Lucknow - CPCB"
28-Sep-2018 - 00:00,23.96,14.76,81.23,4.15,0.11,0.07,0.0,0.02,0.02,80.48,82.61,-0.0,0.54,8.53,299.84,33.11,29-Sep-2018 - 00:00,,0.94,"Lalbagh, Lucknow - CPCB"
29-Sep-2018 - 00:00,35.34,16.04,103.3,4.1,0.1,0.05,0.01,0.02,0.0,68.78,79.45,-0.02,0.62,11.64,247.59,49.66,30-Sep-2018 - 00:00,,1.07,"Lalbagh, Lucknow - CPCB"
30-Sep-2018 - 00:00,24.12,18.93,86.99,3.29,0.05,0.01,0.0,0.01,0.0,62.01,86.51,-0.0,0.65,8.89,277.84,33.54,01-Oct-2018 - 00:00,,0.68,"Lalbagh, Lucknow - CPCB"
01-Oct-2018 - 00:00,26.49,36.88,94.44,4.49,0.01,0.02,0.01,0.01,0.0,67.67,87.85,0.0,0.62,6.62,280.38,40.96,02-Oct-2018 - 00:00,,0.95,"Lalbagh, Lucknow - CPCB"
02-Oct-2018 - 00:00,26.29,35.82,95.33,3.62,0.02,0.09,0.0,0.0,0.0,67.48,85.9,-0.0,0.56,7.85,272.35,39.01,03-Oct-2018 - 00:00,,0.95,"Lalbagh, Lucknow - CPCB"
03-Oct-2018 - 00:00,27.88,32.11,98.52,3.9,0.03,0.02,0.01,0.0,0.0,65.24,92.08,-0.0,0.58,8.38,251.42,41.18,04-Oct-2018 - 00:00,,0.99,"Lalbagh, Lucknow - CPCB"
04-Oct-2018 - 00:00,54.67,25.73,107.11,4.9,0.05,0.01,0.0,0.0,0.0,71.74,46.11,0.0,0.36,28.6,209.35,60.2,05-Oct-2018 - 00:00,,1.39,"Lalbagh, Lucknow - CPCB"
05-Oct-2018 - 00:00,47.78,28.48,96.58,4.64,0.04,0.03,0.0,0.0,0.0,63.69,69.38,0.0,0.63,22.08,257.84,57.55,06-Oct-2018 - 00:00,,1.21,"Lalbagh, Lucknow - CPCB"
06-Oct-2018 - 00:00,60.78,30.01,116.65,7.97,0.02,0.03,0.0,0.01,0.0,67.46,71.57,0.01,0.63,27.47,238.56,73.57,07-Oct-2018 - 00:00,,1.27,"Lalbagh, Lucknow - CPCB"
07-Oct-2018 - 00:00,40.3,29.15,116.53,9.49,0.04,0.02,0.0,0.01,0.03,61.87,64.51,-0.01,0.39,10.35,240.94,60.84,08-Oct-2018 - 00:00,,1.08,"Lalbagh, Lucknow - CPCB"
08-Oct-2018 - 00:00,63.65,27.72,121.39,9.51,0.04,0.03,0.02,0.02,0.0,67.02,64.68,-0.01,0.32,35.48,216.54,71.81,09-Oct-2018 - 00:00,,1.32,"Lalbagh, Lucknow - CPCB"
09-Oct-2018 - 00:00,33.73,27.1,106.31,9.5,0.03,0.01,0.0,0.01,0.01,69.83,69.84,-0.03,0.46,10.75,101.4,48.18,10-Oct-2018 - 00:00,,0.88,"Lalbagh, Lucknow - CPCB"
10-Oct-2018 - 00:00,26.78,24.5,110.59,12.85,0.14,0.05,0.03,0.03,0.01,75.9,60.22,-0.07,0.73,8.3,112.42,39.05,11-Oct-2018 - 00:00,,0.74,"Lalbagh, Lucknow - CPCB"
11-Oct-2018 - 00:00,26.76,20.94,94.44,12.32,0.02,0.0,0.0,0.0,0.0,78.76,50.34,-0.03,0.69,8.71,114.89,38.25,12-Oct-2018 - 00:00,,0.73,"Lalbagh, Lucknow - CPCB"
12-Oct-2018 - 00:00,29.06,17.96,61.69,9.49,0.03,0.0,0.0,0.0,0.0,81.03,57.5,-0.02,0.57,13.28,97.61,35.86,13-Oct-2018 - 00:00,,0.85,"Lalbagh, Lucknow - CPCB"
13-Oct-2018 - 00:00,28.29,19.51,63.99,9.5,0.0,0.01,0.0,0.0,0.0,77.99,50.29,0.01,0.59,9.55,264.66,39.92,14-Oct-2018 - 00:00,,0.68,"Lalbagh, Lucknow - CPCB"
14-Oct-2018 - 00:00,33.31,36.37,116.73,9.49,0.02,0.01,0.0,0.0,0.01,60.89,57.07,0.02,0.49,9.11,273.8,50.11,15-Oct-2018 - 00:00,,0.84,"Lalbagh, Lucknow - CPCB"
15-Oct-2018 - 00:00,42.6,35.72,137.78,9.3,0.08,0.05,0.02,0.02,0.01,58.66,53.06,0.0,0.47,10.75,247.2,64.74,16-Oct-2018 - 00:00,,1.2,"Lalbagh, Lucknow - CPCB"
16-Oct-2018 - 00:00,59.01,32.26,130.34,9.5,0.17,0.09,0.05,0.04,0.01,58.89,50.57,0.01,0.31,26.47,211.24,72.06,17-Oct-2018 - 00:00,,1.65,"Lalbagh, Lucknow - CPCB"
17-Oct-2018 - 00:00,54.04,43.51,127.17,9.5,0.35,0.19,0.1,0.09,0.03,62.75,49.13,0.0,0.28,25.65,150.04,64.04,18-Oct-2018 - 00:00,,1.22,"Lalbagh, Lucknow - CPCB"
18-Oct-2018 - 00:00,70.61,32.29,146.48,7.0,0.3,0.16,0.09,0.08,0.03,64.2,49.26,0.02,0.37,42.52,232.92,69.51,19-Oct-2018 - 00:00,,1.63,"Lalbagh, Lucknow - CPCB"
19-Oct-2018 - 00:00,52.26,11.56,154.1,3.5,0.35,0.19,0.1,0.09,0.03,58.61,48.73,-0.0,0.36,25.56,228.75,60.44,20-Oct-2018 - 00:00,,1.18,"Lalbagh, Lucknow - CPCB"
20-Oct-2018 - 00:00,54.33,14.71,143.04,3.5,0.35,0.19,0.1,0.09,0.03,59.99,43.39,0.01,0.31,28.81,238.88,59.81,21-Oct-2018 - 00:00,,1.47,"Lalbagh, Lucknow - CPCB"
21-Oct-2018 - 00:00,48.33,13.71,152.99,3.51,0.35,0.19,0.1,0.09,0.03,59.62,42.69,0.02,0.42,19.55,274.12,62.24,22-Oct-2018 - 00:00,,1.23,"Lalbagh, Lucknow - CPCB"
22-Oct-2018 - 00:00,44.54,12.61,122.7,11.54,0.29,0.28,0.24,0.2,0.06,49.48,43.09,0.05,0.86,20.82,296.08,53.39,23-Oct-2018 - 00:00,,1.2,"Lalbagh, Lucknow - CPCB"
23-Oct-2018 - 00:00,50.6,16.02,173.13,21.59,0.21,0.28,0.29,0.34,0.11,51.11,40.45,0.01,0.33,13.81,248.56,76.18,24-Oct-2018 - 00:00,,1.22,"Lalbagh, Lucknow - CPCB"
24-Oct-2018 - 00:00,80.12,24.0,184.88,20.07,0.33,0.38,0.33,0.39,0.13,60.71,38.86,0.03,0.49,49.95,242.51,76.28,25-Oct-2018 - 00:00,,1.78,"Lalbagh, Lucknow - CPCB"
25-Oct-2018 - 00:00,75.79,16.49,174.42,12.48,0.88,1.15,0.83,0.36,0.12,59.62,35.81,0.02,0.35,30.86,140.31,96.55,26-Oct-2018 - 00:00,,1.57,"Lalbagh, Lucknow - CPCB"
26-Oct-2018 - 00:00,66.43,18.91,149.0,14.09,0.94,1.38,1.15,0.39,0.13,59.32,39.28,0.02,0.36,35.71,178.22,72.02,27-Oct-2018 - 00:00,,1.56,"Lalbagh, Lucknow - CPCB"
27-Oct-2018 - 00:00,79.2,20.11,166.59,20.74,1.43,1.51,1.89,0.39,0.21,64.37,35.9,0.02,0.31,47.41,221.7,78.17,28-Oct-2018 - 00:00,,1.88,"Lalbagh, Lucknow - CPCB"
28-Oct-2018 - 00:00,68.46,15.72,147.21,11.42,1.58,1.74,1.89,0.39,0.36,67.76,36.0,0.04,0.39,38.2,250.62,71.82,29-Oct-2018 - 00:00,,1.63,"Lalbagh, Lucknow - CPCB"
29-Oct-2018 - 00:00,116.76,18.12,199.91,9.04,0.57,0.58,1.29,0.27,0.15,59.59,26.08,0.03,0.44,107.32,226.08,63.49,30-Oct-2018 - 00:00,,2.75,"Lalbagh, Lucknow - CPCB"
30-Oct-2018 - 00:00,92.0,30.35,155.94,13.04,0.44,0.35,1.38,0.28,0.13,64.59,36.04,0.03,0.33,70.8,211.56,66.9,31-Oct-2018 - 00:00,,1.95,"Lalbagh, Lucknow - CPCB"
31-Oct-2018 - 00:00,70.15,23.86,139.29,8.07,0.49,0.48,1.89,0.39,0.13,65.93,36.49,0.03,0.46,43.22,226.63,67.33,01-Nov-2018 - 00:00,,1.83,"Lalbagh, Lucknow - CPCB"
01-Nov-2018 - 00:00,97.92,31.19,150.09,9.3,2.02,0.87,1.68,0.27,0.32,67.28,35.4,0.03,0.3,73.45,208.0,74.21,02-Nov-2018 - 00:00,,2.05,"Lalbagh, Lucknow - CPCB"
02-Nov-2018 - 00:00,119.37,31.9,197.4,11.53,0.38,0.9,0.63,0.08,0.87,71.95,33.29,0.02,0.24,89.6,195.38,90.08,03-Nov-2018 - 00:00,,2.3,"Lalbagh, Lucknow - CPCB"
03-Nov-2018 - 00:00,52.12,33.91,163.67,3.68,0.14,0.71,0.16,0.18,0.08,65.23,32.14,0.01,0.36,14.04,109.75,77.86,04-Nov-2018 - 00:00,,1.19,"Lalbagh, Lucknow - CPCB"
04-Nov-2018 - 00:00,40.41,37.5,152.13,3.72,0.67,2.63,1.53,0.29,0.42,68.02,32.06,0.04,0.74,14.3,139.36,55.58,05-Nov-2018 - 00:00,,1.04,"Lalbagh, Lucknow - CPCB"
05-Nov-2018 - 00:00,39.07,37.6,125.96,7.88,0.89,2.87,1.79,0.22,0.33,61.49,33.32,0.02,0.58,14.04,265.48,53.6,06-Nov-2018 - 00:00,,1.04,"Lalbagh, Lucknow - CPCB"
06-Nov-2018 - 00:00,37.09,46.36,188.45,5.8,0.81,2.28,2.25,0.17,0.19,58.28,33.0,0.02,0.47,10.28,271.76,55.72,07-Nov-2018 - 00:00,,1.04,"Lalbagh, Lucknow - CPCB"
07-Nov-2018 - 00:00,60.75,51.9,267.53,21.74,0.83,1.82,3.92,0.99,0.8,56.14,30.18,0.0,0.48,27.6,258.14,73.87,08-Nov-2018 - 00:00,,1.5,"Lalbagh, Lucknow - CPCB"
08-Nov-2018 - 00:00,53.32,23.86,406.96,18.39,1.23,2.68,3.92,0.54,1.42,59.76,30.71,0.01,0.31,19.92,265.05,71.11,09-Nov-2018 - 00:00,,2.2,"Lalbagh, Lucknow - CPCB"
09-Nov-2018 - 00:00,60.16,27.8,258.73,10.98,1.0,1.18,2.78,0.01,0.5,58.89,29.62,0.03,0.32,26.87,264.6,73.26,10-Nov-2018 - 00:00,,2.12,"Lalbagh, Lucknow - CPCB"
10-Nov-2018 - 00:00,89.17,26.74,261.43,13.7,3.68,1.69,4.14,0.18,0.4,68.71,27.87,0.0,0.2,59.36,221.64,79.0,11-Nov-2018 - 00:00,,2.69,"Lalbagh, Lucknow - CPCB"
11-Nov-2018 - 00:00,72.95,19.04,233.57,8.46,2.13,1.41,3.28,0.0,0.46,71.6,27.17,-0.05,0.2,34.24,236.09,86.18,12-Nov-2018 - 00:00,,1.8,"Lalbagh, Lucknow - CPCB"
12-Nov-2018 - 00:00,111.81,17.94,248.29,10.29,3.45,1.84,4.17,0.2,4.52,77.07,26.78,-0.05,0.21,75.98,245.36,96.43,13-Nov-2018 - 00:00,,2.36,"Lalbagh, Lucknow - CPCB"
13-Nov-2018 - 00:00,121.05,17.63,243.29,13.01,3.97,2.36,4.39,0.16,0.44,72.65,26.82,-0.05,0.2,81.61,192.03,105.14,14-Nov-2018 - 00:00,,2.42,"Lalbagh, Lucknow - CPCB"
14-Nov-2018 - 00:00,74.32,15.69,210.75,6.48,0.15,1.48,3.57,0.0,0.97,76.9,27.21,-0.05,0.68,46.54,218.13,70.47,15-Nov-2018 - 00:00,,1.82,"Lalbagh, Lucknow - CPCB"
15-Nov-2018 - 00:00,58.19,15.8,186.94,7.35,0.13,1.19,3.51,0.0,1.29,74.33,26.63,-0.06,0.36,31.23,233.63,65.64,16-Nov-2018 - 00:00,,1.66,"Lalbagh, Lucknow - CPCB"
16-Nov-2018 - 00:00,34.78,23.18,119.34,5.59,0.12,0.82,1.54,0.0,0.03,59.01,27.54,-0.08,0.53,13.47,271.74,46.06,17-Nov-2018 - 00:00,,1.15,"Lalbagh, Lucknow - CPCB"
17-Nov-2018 - 00:00,42.47,26.05,166.34,11.53,0.18,0.94,3.72,0.01,0.9,56.91,25.46,-0.07,0.41,13.02,263.67,61.21,18-Nov-2018 - 00:00,,1.35,"Lalbagh, Lucknow - CPCB"
18-Nov-2018 - 00:00,87.65,24.67,245.94,20.47,0.22,1.31,4.02,0.0,0.66,70.45,24.19,-0.04,0.21,49.57,222.69,90.65,19-Nov-2018 - 00:00,,1.9,"Lalbagh, Lucknow - CPCB"
19-Nov-2018 - 00:00,91.38,26.03,209.37,11.05,2.98,1.92,3.5,0.01,0.04,70.99,24.16,-0.05,0.28,50.6,165.59,96.43,20-Nov-2018 - 00:00,,2.19,"Lalbagh, Lucknow - CPCB"
20-Nov-2018 - 00:00,132.68,24.07,280.44,15.79,2.96,2.31,6.56,0.01,1.06,81.84,22.9,-0.04,0.35,91.16,247.65,112.58,21-Nov-2018 - 00:00,,2.65,"Lalbagh, Lucknow - CPCB"
21-Nov-2018 - 00:00,65.17,21.53,223.53,15.21,1.21,1.87,4.31,0.0,0.06,69.93,26.49,-0.04,0.36,32.25,272.34,85.65,22-Nov-2018 - 00:00,,1.82,"Lalbagh, Lucknow - CPCB"
22-Nov-2018 - 00:00,68.53,25.58,173.17,15.54,2.47,1.66,3.87,0.01,0.57,60.39,24.1,-0.04,0.38,32.18,271.74,80.93,23-Nov-2018 - 00:00,,1.65,"Lalbagh, Lucknow - CPCB"
23-Nov-2018 - 00:00,43.51,39.77,164.72,14.72,1.16,1.3,3.02,0.0,0.46,57.26,15.17,-0.04,0.6,14.64,269.64,60.52,24-Nov-2018 - 00:00,,1.34,"Lalbagh, Lucknow - CPCB"
24-Nov-2018 - 00:00,40.35,32.89,154.51,14.66,1.01,1.45,3.33,0.01,1.7,56.27,24.92,-0.06,0.51,13.43,260.62,56.23,25-Nov-2018 - 00:00,,1.26,"Lalbagh, Lucknow - CPCB"
25-Nov-2018 - 00:00,60.7,26.67,191.49,16.36,1.9,1.48,3.79,0.01,1.35,71.69,24.53,-0.04,0.29,26.35,249.53,75.09,26-Nov-2018 - 00:00,,1.75,"Lalbagh, Lucknow - CPCB"
26-Nov-2018 - 00:00,103.85,19.16,221.6,16.68,2.48,2.48,4.31,0.03,0.69,78.95,24.38,-0.04,0.2,70.33,190.15,90.07,27-Nov-2018 - 00:00,,1.38,"Lalbagh, Lucknow - CPCB"
27-Nov-2018 - 00:00,159.47,15.84,265.62,15.86,4.78,3.13,6.62,0.36,0.02,80.59,25.57,-0.0,0.27,135.03,194.02,97.01,28-Nov-2018 - 00:00,,2.43,"Lalbagh, Lucknow - CPCB"
28-Nov-2018 - 00:00,116.47,13.81,214.83,11.8,5.17,3.71,6.73,0.4,0.02,77.94,24.16,0.05,0.31,89.85,177.26,84.25,29-Nov-2018 - 00:00,,3.6,"Lalbagh, Lucknow - CPCB"
29-Nov-2018 - 00:00,67.03,15.96,197.53,8.85,3.22,2.63,5.08,0.14,0.06,81.75,22.0,0.07,0.53,39.95,278.31,66.63,30-Nov-2018 - 00:00,,2.58,"Lalbagh, Lucknow - CPCB"
30-Nov-2018 - 00:00,47.17,24.21,228.88,10.94,2.07,2.65,5.61,0.0,0.21,77.43,21.55,0.06,0.26,13.33,237.69,69.9,01-Dec-2018 - 00:00,,1.63,"Lalbagh, Lucknow - CPCB"
01-Dec-2018 - 00:00,62.46,21.75,208.48,11.56,4.46,3.16,4.51,0.03,0.12,67.18,21.8,0.07,0.43,29.75,262.24,73.43,02-Dec-2018 - 00:00,,1.56,"Lalbagh, Lucknow - CPCB"
02-Dec-2018 - 00:00,122.71,17.38,229.87,13.59,2.64,2.03,4.89,0.05,0.26,68.95,20.28,0.08,0.33,93.86,249.34,89.89,03-Dec-2018 - 00:00,,1.8,"Lalbagh, Lucknow - CPCB"
03-Dec-2018 - 00:00,65.31,22.72,207.41,11.81,1.94,2.55,4.48,0.02,0.55,70.8,20.2,0.08,0.36,31.99,270.39,75.61,04-Dec-2018 - 00:00,,1.53,"Lalbagh, Lucknow - CPCB"
04-Dec-2018 - 00:00,77.48,21.2,258.58,14.59,5.83,4.25,5.45,0.28,5.5,76.82,20.26,0.07,0.26,40.1,252.22,86.27,05-Dec-2018 - 00:00,,1.68,"Lalbagh, Lucknow - CPCB"
05-Dec-2018 - 00:00,58.59,25.46,226.55,10.44,2.79,2.47,4.26,0.07,0.29,74.71,21.08,0.07,0.25,27.67,242.05,69.72,06-Dec-2018 - 00:00,,1.56,"Lalbagh, Lucknow - CPCB"
06-Dec-2018 - 00:00,73.09,22.85,233.63,13.08,2.86,3.79,5.21,0.01,0.57,76.61,21.02,0.01,0.2,34.28,245.14,86.68,07-Dec-2018 - 00:00,,2.03,"Lalbagh, Lucknow - CPCB"
07-Dec-2018 - 00:00,60.33,25.35,198.94,11.76,1.25,2.44,3.13,0.01,0.5,70.78,21.17,-0.03,0.35,30.97,258.11,68.42,08-Dec-2018 - 00:00,,1.81,"Lalbagh, Lucknow - CPCB"
08-Dec-2018 - 00:00,79.1,28.71,199.44,7.27,1.7,3.52,4.19,0.06,0.06,73.85,20.65,-0.03,0.21,46.17,225.63,80.8,09-Dec-2018 - 00:00,,2.05,"Lalbagh, Lucknow - CPCB"
09-Dec-2018 - 00:00,82.63,18.71,167.8,8.85,1.0,2.22,3.02,0.02,0.11,76.31,19.78,-0.02,0.31,57.67,271.55,69.93,10-Dec-2018 - 00:00,,2.19,"Lalbagh, Lucknow - CPCB"
