from date,PM10,O Xylene,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM2.5,NH3,SO2,Benzene,Toluene,MP-Xylene,Eth-Benzene,to date,station
26-Apr-2018 - 00:00,487.48,,146.29,36.2,165.13,17.34,8.89,24.81,19.98,,15.61,0.67,,118.58,6.74,13.24,,,,,27-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
27-Apr-2018 - 00:00,372.09,,127.32,35.65,140.03,14.65,9.19,22.82,54.57,,7.02,0.79,,86.18,7.63,4.73,,,,,28-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
28-Apr-2018 - 00:00,349.61,,129.45,35.3,158.04,13.19,8.97,21.54,87.57,,3.84,1.05,,69.05,8.7,2.29,,,,,29-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
29-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,30-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
30-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,01-May-2018 - 00:00,"Sirifort, Delhi - CPCB"
01-May-2018 - 00:00,248.61,,125.89,57.2,108.2,12.36,8.78,20.79,74.18,,3.93,1.03,,87.0,9.45,-0.97,,,,,02-May-2018 - 00:00,"Sirifort, Delhi - CPCB"
02-May-2018 - 00:00,243.14,,127.08,47.57,163.25,12.5,8.76,20.88,70.87,,1.91,1.31,,129.6,9.13,-0.28,,,,,03-May-2018 - 00:00,"Sirifort, Delhi - CPCB"
03-May-2018 - 00:00,150.9,,132.24,41.49,121.69,12.89,8.89,21.26,58.44,,1.4,1.38,,33.06,8.98,1.59,,,,,04-May-2018 - 00:00,"Sirifort, Delhi - CPCB"
04-May-2018 - 00:00,154.72,,114.53,34.54,161.06,12.46,8.73,20.83,50.02,,4.49,0.82,,38.25,9.32,0.01,,,,,05-May-2018 - 00:00,"Sirifort, Delhi - CPCB"
05-May-2018 - 00:00,261.97,,175.83,35.07,164.86,13.8,8.87,21.97,66.52,,10.45,0.44,,61.71,8.29,2.43,,,,,06-May-2018 - 00:00,"Sirifort, Delhi - CPCB"
06-May-2018 - 00:00,266.12,,101.42,35.43,142.09,14.7,9.04,22.78,42.1,,10.3,0.68,,80.47,7.68,5.28,,,,,07-May-2018 - 00:00,"Sirifort, Delhi - CPCB"
07-May-2018 - 00:00,367.36,,230.74,35.72,155.02,17.34,9.81,25.29,44.17,,15.22,0.43,,88.84,5.92,10.84,,,,,08-May-2018 - 00:00,"Sirifort, Delhi - CPCB"
08-May-2018 - 00:00,180.13,,246.47,34.7,151.58,13.07,8.95,21.43,68.09,,1.85,1.01,,43.71,8.78,3.73,,,,,09-May-2018 - 00:00,"Sirifort, Delhi - CPCB"
09-May-2018 - 00:00,138.02,,144.03,34.48,214.72,14.29,9.27,22.57,30.31,,3.41,0.22,,37.76,7.95,6.55,,,,,10-May-2018 - 00:00,"Sirifort, Delhi - CPCB"
10-May-2018 - 00:00,326.5,,210.1,35.94,15.99,15.47,9.93,24.13,,,,0.4,,103.4,6.51,,,,,,11-May-2018 - 00:00,"Sirifort, Delhi - CPCB"
11-May-2018 - 00:00,315.56,,252.27,37.06,201.87,15.84,9.42,23.89,,,,0.53,,134.98,7.01,,,,,,12-May-2018 - 00:00,"Sirifort, Delhi - CPCB"
12-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,13-May-2018 - 00:00,"Sirifort, Delhi - CPCB"
13-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,14-May-2018 - 00:00,"Sirifort, Delhi - CPCB"
14-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,15-May-2018 - 00:00,"Sirifort, Delhi - CPCB"
15-May-2018 - 00:00,249.88,,119.45,35.19,62.67,14.23,9.25,22.58,44.6,,11.53,0.32,,21.36,7.91,2.87,0.66,5.82,,,16-May-2018 - 00:00,"Sirifort, Delhi - CPCB"
16-May-2018 - 00:00,389.23,,235.16,37.79,122.96,13.04,8.54,21.5,37.07,,1.7,0.61,,132.35,8.87,3.23,0.71,6.97,,,17-May-2018 - 00:00,"Sirifort, Delhi - CPCB"
17-May-2018 - 00:00,332.14,,176.45,35.83,151.66,12.25,8.59,20.58,65.17,,0.35,0.4,,86.32,9.38,5.22,0.93,11.33,,,18-May-2018 - 00:00,"Sirifort, Delhi - CPCB"
18-May-2018 - 00:00,276.09,,109.46,35.69,135.75,,,,54.65,,0.44,0.35,,80.49,,13.82,1.88,12.99,,,19-May-2018 - 00:00,"Sirifort, Delhi - CPCB"
