from date,PM2.5,PM10,Temp,SR,BP,RH,RF,WD,WS,VWS,AT,Benzene,Xylene,SO2,Ozone,NO,NO2,NOx,NH3,CO,Toluene,to date,station
19-Jun-2018 - 00:00,6.18,18.98,29.4,149.07,714.43,63.32,0.0,215.69,1.84,0.01,27.27,0.0,0.0,18.24,35.93,0.45,3.81,2.38,4.62,0.23,0.2,20-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
20-Jun-2018 - 00:00,2.68,15.75,29.38,148.23,713.31,58.23,0.0,195.6,1.18,0.0,28.72,0.0,0.0,16.8,38.02,0.36,3.87,2.33,4.4,0.23,0.2,21-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
21-Jun-2018 - 00:00,3.92,17.28,29.43,150.97,713.44,58.86,0.0,219.79,1.33,0.01,28.72,0.0,0.0,18.76,39.92,0.41,4.52,2.73,4.36,0.24,0.22,22-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
22-Jun-2018 - 00:00,16.13,31.3,29.15,100.35,714.94,73.89,0.0,232.01,1.2,0.01,26.22,0.05,0.05,18.71,38.74,0.49,8.53,4.9,5.72,0.28,0.43,23-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
23-Jun-2018 - 00:00,10.77,18.88,29.24,88.84,715.67,79.24,0.0,230.47,1.34,0.01,25.27,0.01,0.04,16.33,37.3,0.44,5.32,3.19,7.07,0.22,0.81,24-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
24-Jun-2018 - 00:00,11.33,32.42,29.27,122.76,715.15,70.96,0.0,234.18,1.93,0.0,26.05,0.0,0.0,15.75,27.81,0.67,4.94,3.17,5.69,0.24,0.43,25-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
25-Jun-2018 - 00:00,10.42,31.97,29.51,115.02,715.03,67.8,0.02,231.09,2.19,0.02,26.4,0.0,0.0,15.9,26.13,0.56,4.07,2.61,4.88,0.32,0.25,26-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
26-Jun-2018 - 00:00,9.44,29.24,29.55,186.08,715.16,68.71,0.12,240.03,2.89,0.01,25.22,0.0,0.0,13.27,25.79,0.65,4.33,2.82,4.86,0.32,0.18,27-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
27-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
28-Jun-2018 - 00:00,14.62,39.91,31.06,28.19,715.47,60.91,0.0,203.38,1.61,0.02,34.03,0.0,0.0,10.91,34.03,0.37,4.07,2.46,5.4,0.4,0.22,29-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
29-Jun-2018 - 00:00,15.62,49.22,31.53,130.61,715.43,65.28,0.0,219.82,1.37,0.01,33.4,0.0,0.0,9.88,28.1,0.55,3.79,2.46,5.64,0.17,0.24,30-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
30-Jun-2018 - 00:00,16.08,45.46,31.71,158.39,714.92,62.42,0.0,218.86,1.38,0.0,33.97,0.0,0.0,10.84,30.37,0.46,4.6,2.81,6.07,0.21,0.32,01-Jul-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
01-Jul-2018 - 00:00,,33.11,31.54,118.18,715.33,63.69,0.0,218.99,1.4,0.01,33.49,0.0,0.0,13.73,34.43,0.37,4.02,2.43,5.75,0.2,0.25,02-Jul-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
02-Jul-2018 - 00:00,9.31,31.79,31.51,156.62,715.21,64.08,0.0,230.52,1.96,0.01,33.89,0.0,0.0,7.84,31.03,0.53,4.63,2.89,5.6,0.17,0.21,03-Jul-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
03-Jul-2018 - 00:00,10.38,34.22,31.4,94.12,716.19,66.78,0.0,209.61,2.39,0.01,32.68,0.0,0.0,8.26,27.32,0.5,4.5,2.8,5.75,0.16,0.17,04-Jul-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
04-Jul-2018 - 00:00,11.09,51.78,31.48,118.71,715.56,63.58,0.0,239.09,2.77,0.01,33.62,0.0,0.0,11.2,25.83,0.46,3.29,2.1,5.34,0.22,0.15,05-Jul-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
05-Jul-2018 - 00:00,8.35,33.23,31.3,107.46,716.33,70.05,0.0,242.06,2.61,0.01,32.38,0.0,0.01,7.05,23.94,0.61,4.78,3.02,5.18,0.18,0.21,06-Jul-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
06-Jul-2018 - 00:00,12.92,42.09,31.44,81.66,716.91,78.29,0.01,254.69,1.98,0.0,31.64,0.0,0.04,11.8,25.56,0.64,5.84,3.61,5.7,0.19,0.33,07-Jul-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
07-Jul-2018 - 00:00,18.65,46.35,31.6,44.64,717.54,82.65,0.0,247.36,1.69,0.0,30.71,0.0,0.06,12.28,27.39,0.48,5.94,3.53,6.27,0.25,0.39,08-Jul-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
08-Jul-2018 - 00:00,17.31,44.23,31.5,41.25,717.64,82.84,0.0,252.29,1.99,0.0,30.73,0.0,0.03,14.4,25.86,0.37,5.37,3.15,6.92,0.23,0.54,09-Jul-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
09-Jul-2018 - 00:00,12.61,36.59,31.48,62.05,717.26,79.54,0.0,249.53,2.43,0.0,30.98,0.0,0.08,14.78,30.71,0.36,4.17,2.5,6.08,0.18,0.26,10-Jul-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
10-Jul-2018 - 00:00,16.82,44.66,31.48,109.12,716.99,77.58,0.0,241.17,2.77,0.01,31.34,0.0,0.0,13.52,26.15,0.38,4.11,2.49,6.08,0.15,0.13,11-Jul-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
11-Jul-2018 - 00:00,15.94,42.33,31.46,71.49,717.15,77.24,0.0,243.02,2.67,0.01,31.33,0.0,0.01,10.37,27.12,0.41,3.99,2.42,6.0,0.2,0.18,12-Jul-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
12-Jul-2018 - 00:00,5.32,13.26,31.11,46.98,718.43,86.2,0.09,239.28,2.31,0.0,29.85,0.0,0.0,12.44,24.8,0.46,2.55,1.68,5.96,0.22,0.13,13-Jul-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
13-Jul-2018 - 00:00,8.51,24.96,31.42,86.62,717.31,80.8,0.01,244.07,2.42,0.0,30.88,0.0,0.0,14.47,23.8,0.36,2.87,1.79,6.01,0.16,0.13,14-Jul-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
14-Jul-2018 - 00:00,13.57,41.39,31.37,62.55,717.6,82.76,0.08,248.46,1.97,0.0,30.85,0.0,0.12,16.97,21.93,0.49,5.03,3.05,7.23,0.17,0.37,15-Jul-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
15-Jul-2018 - 00:00,11.39,40.22,31.42,64.44,717.4,81.31,0.02,238.91,2.23,0.0,31.15,0.0,0.0,15.03,20.75,0.43,3.56,2.23,7.58,0.17,0.17,16-Jul-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
16-Jul-2018 - 00:00,4.85,17.21,31.44,49.16,717.71,82.15,0.02,240.1,2.68,0.01,30.85,0.0,0.0,15.21,20.18,0.4,2.49,1.61,7.98,0.36,0.13,17-Jul-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
17-Jul-2018 - 00:00,6.75,24.54,31.31,110.45,716.69,77.04,0.01,240.2,2.64,0.0,31.88,0.0,0.0,14.03,22.41,0.48,3.43,2.21,7.65,0.21,0.18,18-Jul-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
18-Jul-2018 - 00:00,10.21,30.19,31.5,97.19,716.39,74.27,0.0,250.89,2.2,0.0,32.36,0.0,0.03,15.18,21.81,0.61,4.04,2.63,8.17,0.21,0.27,19-Jul-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
