from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
22-Mar-2018 - 00:00,114.86,66.18,23.39,23.44,46.84,1.49,,33.18,23-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
23-Mar-2018 - 00:00,96.35,47.6,24.61,22.53,47.14,1.59,,29.18,24-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
24-Mar-2018 - 00:00,116.18,57.38,23.79,22.99,46.78,1.52,,30.7,25-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
25-Mar-2018 - 00:00,107.31,55.86,24.0,22.94,46.94,1.54,,30.76,26-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
26-Mar-2018 - 00:00,131.43,66.78,24.12,22.83,46.95,1.55,,30.32,27-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
27-Mar-2018 - 00:00,166.82,79.41,25.76,21.91,47.67,1.67,,27.17,28-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
28-Mar-2018 - 00:00,203.53,79.2,24.22,22.76,46.98,1.56,,30.11,29-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
29-Mar-2018 - 00:00,137.39,50.63,25.02,22.52,47.53,1.62,,29.84,30-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
30-Mar-2018 - 00:00,169.24,130.14,23.71,23.03,46.75,1.52,,30.87,31-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
31-Mar-2018 - 00:00,187.25,49.42,23.44,23.44,46.89,1.5,,33.49,01-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
01-Apr-2018 - 00:00,131.12,52.91,23.05,23.82,46.87,1.47,,35.19,02-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
02-Apr-2018 - 00:00,146.17,59.69,23.91,23.42,47.33,1.53,,34.22,03-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
03-Apr-2018 - 00:00,158.68,69.44,23.2,23.78,46.97,1.48,,35.46,04-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
04-Apr-2018 - 00:00,180.43,78.6,23.28,23.9,47.18,1.49,,37.04,05-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
05-Apr-2018 - 00:00,245.75,123.12,22.14,24.31,46.44,1.4,,36.57,06-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
06-Apr-2018 - 00:00,150.42,60.63,26.09,22.19,48.28,1.7,,29.78,07-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
07-Apr-2018 - 00:00,104.83,35.58,28.81,20.66,49.46,1.9,,23.55,08-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
08-Apr-2018 - 00:00,96.77,36.43,25.95,21.88,47.83,1.69,,27.15,09-Apr-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
