from date,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,SO2,WS,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,to date,station
03-Apr-2018 - 00:00,0.4,126.57,36.59,750.32,124.02,8.78,62.58,42.31,46.66,86.1,32.54,,0.95,7.97,1.37,3.48,8.48,1.62,0.51,1.84,04-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
04-Apr-2018 - 00:00,0.29,119.49,36.63,748.79,121.72,22.26,71.27,56.82,44.17,125.4,33.13,,1.37,9.0,1.07,4.01,13.76,3.49,2.34,2.6,05-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
05-Apr-2018 - 00:00,0.37,159.62,39.08,747.99,125.73,25.98,64.38,55.02,25.28,145.93,32.91,,1.19,13.1,1.06,4.43,11.77,2.24,3.35,2.14,06-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
06-Apr-2018 - 00:00,0.39,105.27,41.25,749.47,91.86,10.04,50.81,35.06,23.37,92.15,30.75,,0.75,14.59,1.78,1.93,4.29,0.05,0.66,0.98,07-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
07-Apr-2018 - 00:00,0.37,117.65,50.97,750.89,147.41,9.77,46.07,32.32,24.62,63.05,29.69,,0.67,4.57,1.47,1.74,3.88,0.38,0.14,0.57,08-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
08-Apr-2018 - 00:00,0.21,120.61,47.88,751.15,142.73,5.89,35.07,23.37,34.95,56.63,30.75,,0.6,4.24,1.87,1.11,2.74,0.09,0.0,0.44,09-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
09-Apr-2018 - 00:00,-0.08,127.86,61.26,752.1,102.24,18.66,45.95,39.37,19.53,69.19,27.92,,0.98,4.87,1.61,2.05,5.26,1.55,0.98,0.96,10-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
10-Apr-2018 - 00:00,-0.03,141.45,55.02,750.77,139.51,33.31,52.55,54.54,31.81,111.08,30.12,,0.9,4.76,1.34,3.1,7.58,1.97,1.04,1.65,11-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
11-Apr-2018 - 00:00,-0.06,94.81,59.28,750.76,123.29,10.87,39.52,29.72,18.68,43.53,28.03,,0.62,3.22,2.02,1.52,3.72,0.01,0.13,0.4,12-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
12-Apr-2018 - 00:00,0.26,180.97,48.79,750.31,161.09,18.6,46.79,39.77,25.55,70.65,29.05,,0.76,5.0,1.29,1.92,8.01,1.39,1.7,1.03,13-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
13-Apr-2018 - 00:00,0.12,203.32,28.81,750.84,176.83,67.87,61.93,87.28,25.28,109.79,30.3,,1.15,11.06,1.02,3.62,14.52,3.85,4.07,2.44,14-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
14-Apr-2018 - 00:00,0.22,216.04,23.53,750.03,164.85,32.14,71.85,63.93,25.78,101.31,31.45,,0.76,12.53,1.0,2.4,12.04,1.93,3.56,1.73,15-Apr-2018 - 00:00,"Shadipur, Delhi - CPCB"
