from date,Benzene,Eth-Benzene,MP-Xylene,BP,O Xylene,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
24-Apr-2018 - 00:00,1.14,0.24,0.06,755.92,3.16,161.34,110.72,0.0,14.76,228.23,33.3,204.07,1.08,0.54,38.25,5.48,13.99,19.48,50.11,20.53,25-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
25-Apr-2018 - 00:00,0.54,0.02,0.0,754.77,2.08,145.53,98.11,0.0,15.7,226.52,34.98,223.89,1.5,0.25,33.55,3.28,8.32,11.6,49.71,10.55,26-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
26-Apr-2018 - 00:00,0.32,0.01,0.0,754.0,1.74,158.17,107.52,0.0,24.05,222.21,36.05,230.47,1.78,0.3,31.23,3.18,6.46,9.63,42.68,10.83,27-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
27-Apr-2018 - 00:00,0.32,0.01,0.0,754.57,1.62,179.9,104.6,0.0,26.32,225.36,37.41,229.22,1.88,0.26,29.58,3.18,5.79,8.96,37.66,11.44,28-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
28-Apr-2018 - 00:00,0.25,0.0,0.0,754.54,1.34,221.3,106.61,0.0,26.45,225.21,37.72,229.61,2.02,0.26,27.9,3.24,5.24,8.48,38.19,9.77,29-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
29-Apr-2018 - 00:00,0.26,0.0,0.0,753.57,1.12,213.14,83.25,0.0,26.39,237.18,37.9,233.52,1.99,0.28,31.24,3.75,6.16,9.91,37.58,11.9,30-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
30-Apr-2018 - 00:00,0.24,0.0,0.0,753.54,1.44,218.99,120.05,0.0,36.07,237.79,37.17,222.69,2.19,0.26,39.4,3.35,5.52,8.67,32.29,8.76,01-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
01-May-2018 - 00:00,0.18,0.0,0.0,755.59,1.48,239.51,112.05,0.0,29.02,228.84,37.99,228.07,2.32,0.25,27.86,3.22,4.56,7.78,34.55,9.82,02-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
02-May-2018 - 00:00,0.15,0.01,0.0,755.9,1.48,188.99,100.26,0.0,26.16,224.82,37.31,221.97,2.02,0.31,27.52,3.16,4.39,7.55,41.84,7.2,03-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
03-May-2018 - 00:00,0.42,0.02,0.0,756.11,1.63,200.37,94.81,0.0,28.12,234.78,36.65,221.72,1.54,0.48,26.15,3.08,6.3,9.38,44.41,17.15,04-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
04-May-2018 - 00:00,0.98,0.15,0.03,757.25,3.31,227.08,120.64,0.0,35.49,229.69,35.91,220.3,1.49,0.67,26.13,3.54,7.05,10.59,29.6,12.03,05-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
05-May-2018 - 00:00,0.43,0.01,0.0,757.82,2.14,228.49,163.79,0.0,28.75,244.26,37.5,231.62,1.79,0.27,23.99,3.46,5.85,9.32,33.23,15.99,06-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
06-May-2018 - 00:00,0.36,0.01,0.0,758.01,1.67,175.2,140.24,0.0,22.09,250.14,36.12,225.52,1.81,0.39,29.57,3.69,6.23,9.91,40.71,11.56,07-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
07-May-2018 - 00:00,0.23,0.0,0.0,757.55,1.58,164.46,97.49,0.0,23.77,263.13,34.78,224.54,1.75,0.36,36.57,3.47,5.85,9.32,42.17,9.55,08-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
08-May-2018 - 00:00,0.31,0.0,0.0,757.45,1.41,435.0,191.53,0.0,33.04,237.28,34.31,183.83,2.26,0.37,27.43,3.88,6.56,10.45,53.51,23.11,09-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
09-May-2018 - 00:00,0.35,0.01,0.0,757.81,2.15,191.96,105.44,0.0,38.9,261.87,35.87,218.38,1.61,0.44,30.48,19.73,10.92,29.55,29.99,15.68,10-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
10-May-2018 - 00:00,0.68,0.18,0.07,758.48,2.51,190.2,107.23,0.0,27.43,253.66,37.68,219.58,1.51,0.53,18.48,57.54,20.73,78.25,36.83,14.15,11-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
11-May-2018 - 00:00,0.33,0.01,0.0,757.61,2.72,160.85,94.24,0.0,23.52,257.46,38.1,231.49,1.57,0.52,17.49,63.01,19.07,82.09,36.34,10.63,12-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
12-May-2018 - 00:00,0.31,0.0,0.0,757.36,2.56,151.62,91.61,0.0,23.77,261.21,37.32,218.04,1.73,0.51,14.08,74.57,21.75,96.32,37.69,9.08,13-May-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
