from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene,to date,station
14-Mar-2018 - 00:00,,,,,,,,,,316.69,153.94,16.07,31.71,47.78,1.16,,34.17,0.0,0.0,0.0,,0.0,15-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
15-Mar-2018 - 00:00,,,,,,,,,,249.43,124.66,16.95,30.46,47.38,1.35,,23.76,0.0,0.0,0.0,,0.0,16-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
16-Mar-2018 - 00:00,,,,,,,,,,259.48,129.71,16.45,32.91,49.14,1.12,,28.51,0.0,0.0,0.0,,0.0,17-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
17-Mar-2018 - 00:00,,,,,,,,,,187.57,114.17,18.7,28.86,47.48,1.65,,22.02,0.0,0.0,0.0,,0.0,18-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
18-Mar-2018 - 00:00,,,,,,,,,,204.21,109.64,25.0,24.0,49.0,2.7,,10.0,0.0,0.0,0.0,,0.0,19-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
19-Mar-2018 - 00:00,,,,,,,,,,201.17,101.57,25.0,24.0,49.0,2.7,,10.0,0.0,0.0,0.0,,0.0,20-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
20-Mar-2018 - 00:00,,,,,,,,,,266.38,122.24,25.0,24.0,49.0,2.7,,10.0,0.0,0.0,0.0,,0.0,21-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
21-Mar-2018 - 00:00,,,,,,,,,,251.28,160.56,16.9,30.32,47.23,1.35,,26.95,0.0,0.0,0.0,,0.0,22-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
22-Mar-2018 - 00:00,,,,,,,,,,154.76,92.0,16.37,30.52,46.9,1.26,,25.7,0.0,0.0,0.0,,0.0,23-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
23-Mar-2018 - 00:00,,,,,,,,,,169.58,77.6,20.66,27.03,47.69,1.98,,16.01,0.0,0.0,0.0,,0.0,24-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
24-Mar-2018 - 00:00,,,,,,,,,,184.78,91.19,16.14,30.88,47.02,1.22,,28.04,0.0,0.0,0.0,,0.0,25-Mar-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
