from date,CH4,PM2.5,RH,SR,VWS,WD,WS,CO,NH3,NOx,NO,NO2,SO2,to date,BP,THC,station
14-Oct-2018 - 00:00,549.86,38.28,85.35,,0.23,86.54,0.91,0.96,74.69,18.51,8.52,10.53,9.4,15-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
15-Oct-2018 - 00:00,514.98,48.37,89.19,,0.22,74.43,0.85,0.95,83.58,18.77,7.82,10.96,6.21,16-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
16-Oct-2018 - 00:00,513.77,34.64,93.59,,0.22,70.94,0.83,0.94,51.54,21.11,8.87,12.41,6.35,17-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
17-Oct-2018 - 00:00,462.08,44.26,95.85,,0.22,70.67,0.84,0.95,58.99,21.46,8.32,13.15,5.28,18-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
18-Oct-2018 - 00:00,512.48,32.14,97.77,,0.22,55.4,0.76,1.01,64.54,21.49,8.6,12.9,5.83,19-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
19-Oct-2018 - 00:00,522.83,49.85,95.22,,0.22,56.53,0.76,0.91,74.77,21.23,8.55,12.67,7.34,20-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
20-Oct-2018 - 00:00,513.65,72.06,82.03,,0.22,55.56,0.75,0.93,70.08,23.19,8.7,14.49,4.98,21-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
21-Oct-2018 - 00:00,511.27,62.24,72.78,,0.22,42.28,0.72,1.0,104.04,19.55,8.2,11.35,6.32,22-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
22-Oct-2018 - 00:00,522.97,58.06,87.18,,0.22,53.47,0.76,1.0,80.58,20.82,8.46,12.36,10.44,23-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
23-Oct-2018 - 00:00,502.72,58.55,83.22,,0.21,50.65,0.76,0.93,54.04,23.44,9.05,14.39,5.3,24-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
24-Oct-2018 - 00:00,502.29,79.23,80.53,,0.22,50.58,0.76,0.92,72.61,22.4,8.22,14.18,6.67,25-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
25-Oct-2018 - 00:00,508.95,78.06,79.86,,0.22,48.17,0.75,0.99,79.47,21.07,8.4,12.67,3.99,26-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
26-Oct-2018 - 00:00,444.75,61.81,70.83,,0.22,41.27,0.72,1.2,108.81,21.9,8.97,12.97,9.41,27-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
27-Oct-2018 - 00:00,490.29,68.7,69.48,,0.23,54.93,0.75,1.03,84.32,23.81,8.19,15.62,19.54,28-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
28-Oct-2018 - 00:00,501.09,79.06,72.63,,0.22,57.18,0.75,0.9,103.95,22.48,8.21,14.27,5.11,29-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
29-Oct-2018 - 00:00,510.93,77.18,70.78,,0.22,64.34,0.77,0.95,91.67,23.49,8.51,14.99,5.28,30-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
30-Oct-2018 - 00:00,464.5,42.88,99.06,,0.22,60.28,0.78,0.93,101.37,21.04,8.07,12.97,5.34,31-Oct-2018 - 00:00,,,"Manali, Chennai - CPCB"
31-Oct-2018 - 00:00,415.57,34.77,98.7,,0.22,61.8,0.94,0.89,88.09,24.06,9.61,14.47,4.31,01-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
01-Nov-2018 - 00:00,319.1,48.91,97.53,,0.21,57.16,1.15,0.88,99.53,21.91,8.9,13.01,1.12,02-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
02-Nov-2018 - 00:00,0.0,38.74,97.52,,0.21,51.56,1.08,0.92,105.05,18.92,7.96,11.16,2.39,03-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
03-Nov-2018 - 00:00,,34.92,95.03,,0.2,73.15,1.21,0.88,81.38,19.62,8.48,11.56,4.42,04-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
04-Nov-2018 - 00:00,0.0,35.92,94.95,,0.2,67.51,1.04,0.98,88.81,21.47,10.75,10.8,29.47,05-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
05-Nov-2018 - 00:00,,34.74,86.61,,0.21,65.73,0.89,1.1,107.94,34.99,18.88,16.14,31.45,06-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
06-Nov-2018 - 00:00,,77.06,81.41,,0.21,75.79,1.24,1.19,113.32,36.45,20.78,17.17,19.28,07-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
07-Nov-2018 - 00:00,,74.63,78.77,,0.2,82.07,1.3,1.11,109.94,32.57,19.46,19.25,24.49,08-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
08-Nov-2018 - 00:00,,38.28,83.3,,0.2,81.92,1.4,1.19,103.75,22.42,12.97,16.43,9.53,09-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
09-Nov-2018 - 00:00,452.86,72.23,84.23,,0.14,83.91,1.19,1.26,89.64,21.82,12.12,16.52,3.06,10-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
10-Nov-2018 - 00:00,564.2,85.1,83.62,,0.16,150.49,1.1,1.22,87.01,26.46,12.93,24.61,8.54,11-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
11-Nov-2018 - 00:00,530.46,128.12,81.8,,0.22,103.65,0.97,1.2,99.62,22.84,12.57,17.88,13.64,12-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
12-Nov-2018 - 00:00,513.11,122.96,83.06,,0.22,75.04,0.83,1.27,104.42,23.01,12.61,18.17,5.21,13-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
13-Nov-2018 - 00:00,609.66,147.04,75.63,,0.2,133.45,1.3,1.35,99.42,23.36,12.53,17.6,8.41,14-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
14-Nov-2018 - 00:00,,111.82,75.5,,0.14,214.0,3.28,1.23,94.72,22.94,11.0,15.49,14.42,15-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
15-Nov-2018 - 00:00,,50.36,99.13,,0.21,107.8,1.96,1.29,96.13,22.56,11.36,14.13,11.85,16-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
16-Nov-2018 - 00:00,,23.61,79.29,,0.16,122.94,0.86,1.14,104.09,20.72,10.42,11.96,24.68,17-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
17-Nov-2018 - 00:00,,33.39,64.41,,0.11,150.19,2.26,1.26,102.85,21.07,10.7,12.14,11.77,18-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
18-Nov-2018 - 00:00,,29.27,56.5,,0.05,112.99,1.64,1.12,98.39,22.02,11.43,12.96,16.39,19-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
19-Nov-2018 - 00:00,13.69,23.31,57.28,,0.19,177.59,1.61,1.05,104.02,20.69,10.89,11.1,30.24,20-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
20-Nov-2018 - 00:00,,54.41,64.36,,0.22,247.08,2.38,1.21,109.14,21.75,10.89,13.21,12.37,21-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
21-Nov-2018 - 00:00,,26.05,74.96,,0.21,60.08,1.11,1.28,99.31,21.38,10.89,12.57,12.56,22-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
22-Nov-2018 - 00:00,,24.06,96.35,,0.22,59.16,1.11,1.3,41.53,21.59,10.79,13.05,13.73,23-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
23-Nov-2018 - 00:00,,54.41,96.22,,0.21,60.1,1.07,1.42,61.24,21.11,10.79,12.09,10.99,24-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
24-Nov-2018 - 00:00,457.33,105.26,86.89,,0.22,57.91,0.97,1.25,61.58,21.21,10.86,12.19,7.62,25-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
25-Nov-2018 - 00:00,527.25,141.47,81.46,,0.21,61.51,0.76,1.18,50.62,21.36,10.96,12.32,5.28,26-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
26-Nov-2018 - 00:00,517.44,96.7,68.84,,0.21,55.79,0.74,1.19,30.28,21.95,10.76,13.82,5.94,27-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
27-Nov-2018 - 00:00,541.43,53.98,67.05,,0.17,68.97,0.79,1.21,39.37,21.67,10.92,13.1,7.76,28-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
28-Nov-2018 - 00:00,575.04,49.7,81.09,,0.09,85.98,0.91,1.25,40.4,21.41,10.75,12.75,10.8,29-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
29-Nov-2018 - 00:00,,46.79,78.07,,0.1,84.83,0.94,1.26,35.22,21.22,10.71,12.43,9.16,30-Nov-2018 - 00:00,,,"Manali, Chennai - CPCB"
30-Nov-2018 - 00:00,,58.07,76.28,,0.07,163.67,1.91,1.25,36.02,21.58,10.88,12.9,15.95,01-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
01-Dec-2018 - 00:00,,75.9,73.18,,0.12,94.6,1.4,1.26,34.04,21.43,10.72,12.84,21.45,02-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
02-Dec-2018 - 00:00,,37.34,78.73,,0.1,72.19,1.25,1.21,31.29,21.54,10.87,12.84,20.58,03-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
03-Dec-2018 - 00:00,,39.96,82.52,,0.07,139.84,1.95,1.18,32.77,22.56,12.26,14.07,14.03,04-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
04-Dec-2018 - 00:00,,24.58,96.37,,0.18,59.15,1.25,1.22,30.99,22.35,11.5,13.5,11.24,05-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
05-Dec-2018 - 00:00,,35.08,96.38,,0.2,49.78,1.08,1.32,43.69,21.47,11.01,12.47,10.74,06-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
06-Dec-2018 - 00:00,,51.9,96.0,,0.2,49.52,1.07,1.36,41.24,21.4,11.1,12.24,10.33,07-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
07-Dec-2018 - 00:00,,99.77,92.39,,0.1,59.61,1.05,1.24,40.62,21.23,10.94,12.09,9.69,08-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
08-Dec-2018 - 00:00,95.4,114.25,86.11,,-0.08,166.6,0.96,1.44,42.18,21.53,11.11,12.44,7.44,09-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
09-Dec-2018 - 00:00,,126.52,87.01,,0.07,272.86,1.9,1.29,39.34,21.09,10.91,11.88,7.72,10-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
10-Dec-2018 - 00:00,,115.77,83.06,,0.22,157.24,1.44,1.43,43.59,20.68,10.5,11.7,8.17,11-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
11-Dec-2018 - 00:00,,99.16,80.55,,0.11,163.35,1.3,1.35,41.03,21.09,10.66,12.24,17.36,12-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
12-Dec-2018 - 00:00,,126.9,85.82,,-0.03,201.88,1.74,1.35,37.46,21.38,10.79,12.63,22.07,13-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
13-Dec-2018 - 00:00,,68.98,84.39,,-0.43,61.43,1.26,1.34,36.21,21.5,10.86,12.78,23.36,14-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
14-Dec-2018 - 00:00,,62.21,87.72,,0.45,68.18,1.36,1.49,37.15,21.84,11.18,12.98,11.86,15-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
15-Dec-2018 - 00:00,,103.89,84.22,,0.3,71.72,1.37,1.51,28.0,22.3,10.98,14.25,10.42,16-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
16-Dec-2018 - 00:00,,71.74,96.07,,0.1,68.1,1.39,1.42,25.96,21.78,10.68,13.59,10.9,17-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
17-Dec-2018 - 00:00,,52.68,75.54,,0.15,69.71,1.46,1.35,32.83,21.31,10.77,12.55,13.21,18-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
18-Dec-2018 - 00:00,539.88,83.62,86.08,,0.11,68.48,1.4,1.31,34.01,21.45,10.92,12.58,15.1,19-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
19-Dec-2018 - 00:00,,32.89,80.38,,0.11,95.69,1.63,1.6,36.76,21.28,10.92,12.24,14.53,20-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
20-Dec-2018 - 00:00,,60.37,84.91,,0.11,164.84,1.41,1.38,47.2,21.72,11.41,12.82,16.18,21-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
21-Dec-2018 - 00:00,,49.2,88.5,,0.15,279.74,1.28,1.09,56.2,20.9,10.65,11.91,13.66,22-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
22-Dec-2018 - 00:00,,65.31,88.2,,0.16,287.45,1.21,1.12,56.77,21.32,10.97,12.24,12.25,23-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
23-Dec-2018 - 00:00,113.16,99.58,88.89,,0.15,286.28,1.2,1.18,60.21,21.25,10.92,12.21,10.91,24-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
24-Dec-2018 - 00:00,,100.21,83.47,,0.15,282.25,0.94,1.1,60.13,21.22,10.73,12.41,16.86,25-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
25-Dec-2018 - 00:00,,102.61,81.57,,0.14,275.51,0.82,1.18,56.93,21.56,11.02,12.64,21.44,26-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
26-Dec-2018 - 00:00,,91.22,80.29,,0.15,255.8,0.59,1.17,56.98,21.15,10.74,12.25,13.22,27-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
27-Dec-2018 - 00:00,,85.7,84.91,,0.15,234.52,0.54,1.19,56.62,21.24,10.92,12.16,33.09,28-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
28-Dec-2018 - 00:00,,93.55,88.1,,0.15,231.83,0.51,1.18,30.88,21.26,10.97,12.12,18.42,29-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
29-Dec-2018 - 00:00,,96.13,96.3,,0.13,276.2,0.98,1.18,15.78,21.33,11.02,12.19,15.48,30-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
30-Dec-2018 - 00:00,,76.92,84.41,,0.13,277.01,0.98,1.16,16.17,20.95,10.78,11.78,11.15,31-Dec-2018 - 00:00,,,"Manali, Chennai - CPCB"
31-Dec-2018 - 00:00,,90.61,74.56,,0.11,297.38,1.06,1.28,16.0,20.34,10.42,11.09,12.57,01-Jan-2019 - 00:00,,,"Manali, Chennai - CPCB"
